ID_Sensor,Vibracion_RMS_mm_s,Temperatura_C,Presion_PSI,Variacion_Voltaje_V,Horas_Uso_Acumuladas,Estado_Sensor
1,3.1,86.0,86.5,6.37,3285,1
2,2.33,78.9,97.1,9.67,2016,1
3,3.28,65.9,84.2,-4.81,3648,1
4,4.33,55.3,93.8,9.39,2857,1
5,2.22,75.5,62.1,-1.38,2056,1
6,2.22,70.9,104.3,-3.05,278,0
7,4.4,78.4,100.0,-8.99,996,1
8,3.42,74.5,83.7,-8.94,1651,1
9,1.94,80.7,113.2,3.84,591,1
10,3.15,57.0,118.8,-0.84,160,1
11,1.94,84.8,67.8,-5.47,1177,1
12,1.94,68.0,84.7,2.28,2995,1
13,2.79,96.1,84.6,-4.94,4260,1
14,0.2,54.7,81.2,1.55,3783,1
15,0.43,91.0,116.6,-2.82,685,0
16,1.83,68.0,96.1,6.47,4060,1
17,1.28,55.2,94.7,6.41,3870,0
18,2.88,57.7,59.9,-0.45,634,0
19,1.41,60.2,112.7,-2.98,3562,1
20,0.81,71.4,75.2,-2.75,4111,1
21,4.26,72.8,101.2,6.11,3498,1
22,2.23,56.4,105.5,-3.44,2255,1
23,2.58,64.6,127.2,-5.82,1104,1
24,0.79,97.1,73.8,-8.31,2599,1
25,1.85,90.9,40.0,-0.67,426,0
26,2.63,71.5,103.7,-0.36,4803,1
27,1.12,65.6,136.0,6.82,2806,1
28,2.95,66.8,124.8,-5.58,101,1
29,1.78,74.2,104.2,-2.38,1133,0
30,2.15,49.7,90.2,6.17,2581,1
31,1.78,61.1,116.1,6.47,224,1
32,4.72,40.0,80.5,-2.31,1204,1
33,2.48,71.0,109.5,-0.82,2799,0
34,1.23,74.7,110.1,-3.93,1961,1
35,3.49,57.8,121.2,8.65,3020,1
36,1.03,88.6,155.2,-7.63,228,1
37,2.75,46.6,107.8,8.67,537,1
38,0.15,43.0,89.8,3.68,4946,1
39,0.91,68.4,99.5,0.63,2648,1
40,2.74,80.7,64.6,-9.35,3229,1
41,3.39,90.3,86.1,-0.49,1321,0
42,2.71,58.1,91.8,-1.85,1001,1
43,2.36,81.2,89.5,-6.78,3268,1
44,2.14,64.4,103.0,3.13,4586,1
45,0.73,62.4,83.6,9.42,4018,1
46,1.64,78.3,122.4,1.24,1167,0
47,1.95,74.8,100.0,4.3,126,1
48,3.77,41.4,99.8,-8.63,647,1
49,2.91,87.1,93.4,-1.65,2768,1
50,0.38,85.7,103.1,-7.67,666,1
51,2.89,55.6,116.5,2.26,803,1
52,2.04,70.9,82.7,8.77,4380,1
53,1.69,72.4,86.8,3.24,3240,1
54,3.23,68.9,93.9,-8.46,1690,1
55,3.74,56.7,73.1,-2.91,4794,1
56,3.62,54.9,83.6,1.01,905,1
57,1.49,64.6,90.5,-1.94,3891,0
58,2.13,82.6,117.5,6.67,1457,1
59,2.9,73.2,105.3,6.29,3325,1
60,3.67,59.4,103.9,2.24,3718,1
61,1.92,76.6,117.0,-2.53,2226,1
62,2.28,22.3,97.3,-4.89,2560,1
63,1.17,82.2,107.8,-7.88,645,0
64,1.06,38.9,97.9,-2.9,2828,1
65,3.48,59.6,105.3,-1.74,3834,1
66,4.13,48.2,88.3,3.52,2662,1
67,2.41,45.6,51.2,3.16,2179,0
68,3.7,82.4,97.3,-8.6,2741,1
69,2.93,58.0,128.5,-2.09,3214,1
70,1.73,70.2,118.5,-6.36,2026,0
