ID_Pieza,Rugosidad_Superficie_um,Desviacion_Tolerancia_mm,Dureza_Rockwell_HRC,Temperatura_Moldeo_C,Velocidad_Enfriamiento_C_s,Pieza_Defectuosa
1,2.28,0.03,51.9,203.6,16.2,0
2,1.45,0.019,62.7,204.1,13.3,0
3,1.56,0.014,61.6,214.8,13.6,0
4,1.4,0.027,57.7,215.3,19.2,1
5,1.46,0.012,57.2,207.1,18.7,0
6,1.07,0.021,50.6,188.9,21.5,0
7,0.86,0.02,64.6,220.5,17.7,0
8,1.44,0.036,66.8,204.3,22.1,0
9,0.39,0.019,56.6,242.1,10.0,0
10,1.5,0.025,59.8,195.6,23.3,0
11,1.41,0.005,49.8,215.9,22.6,0
12,0.96,0.017,56.5,208.1,22.0,0
13,1.28,0.04,60.2,218.0,24.5,0
14,0.9,0.04,55.6,204.3,19.8,0
15,0.83,0.03,55.6,222.0,9.5,0
16,1.58,0.012,55.4,213.5,13.4,0
17,1.28,0.008,58.5,194.7,16.0,0
18,1.99,0.008,66.7,199.8,13.4,0
19,2.24,0.012,62.1,201.1,18.9,0
20,1.47,0.026,56.3,215.4,18.3,0
21,1.32,0.009,60.3,215.1,10.1,0
22,1.88,0.005,65.3,217.7,11.6,0
23,0.52,0.002,57.0,200.7,24.2,0
24,0.74,0.009,57.0,205.6,15.4,0
25,1.15,0.0,61.9,207.1,13.7,0
26,1.36,0.0,58.1,206.4,13.9,0
27,1.27,0.005,60.4,212.9,5.9,0
28,1.27,0.015,58.3,225.2,13.7,1
29,1.52,0.044,57.3,214.4,10.8,0
30,1.23,0.032,70.0,228.6,18.6,0
31,1.46,0.023,54.6,213.1,16.4,0
32,1.33,0.0,56.6,193.7,17.1,0
33,1.0,0.012,60.5,218.6,15.5,0
34,0.9,0.03,61.5,204.2,24.3,0
35,0.82,0.039,57.8,190.8,5.3,1
36,1.39,0.0,56.9,221.9,23.9,0
37,1.15,0.04,58.2,209.7,7.4,0
38,1.96,0.017,56.8,188.2,23.9,1
39,1.3,0.034,60.3,195.0,5.2,0
40,2.0,0.011,53.0,215.1,24.1,0
41,0.8,0.019,56.8,198.6,7.3,0
42,1.28,0.002,59.9,218.5,21.1,0
43,0.75,0.021,60.6,219.4,8.0,0
44,1.2,0.043,57.9,207.9,22.0,0
45,1.61,0.04,61.2,215.7,6.0,0
46,1.14,0.032,48.6,210.5,11.5,0
47,1.19,0.008,58.0,212.7,20.1,0
48,1.46,0.016,55.0,240.1,9.2,0
49,2.06,0.011,60.5,204.1,7.0,0
50,0.96,0.025,60.1,216.6,9.3,0
51,0.9,0.035,65.0,221.9,21.5,0
52,1.06,0.002,54.6,228.3,25.0,0
53,1.26,0.012,50.8,213.3,13.4,0
54,1.01,0.034,63.6,220.7,11.8,0
55,1.42,0.037,58.2,218.5,14.8,0
56,1.61,0.002,56.6,207.9,18.7,0
57,0.83,0.019,61.2,213.5,19.1,0
58,1.95,0.039,50.4,211.7,9.2,0
59,0.75,0.038,55.6,208.1,14.3,0
60,1.44,0.014,58.2,211.1,13.5,0
61,1.35,0.036,57.8,182.5,21.3,0
62,2.03,0.026,58.6,228.8,18.1,0
63,1.05,0.006,61.0,209.0,5.1,0
64,1.29,0.045,58.3,206.1,8.1,1
65,1.47,0.014,55.0,216.5,22.3,0
66,1.61,0.018,55.3,203.3,10.0,0
67,1.19,0.0,59.7,219.0,13.2,0
68,1.98,0.013,63.4,202.6,12.9,0
69,0.8,0.009,57.3,224.4,13.9,0
70,0.9,0.0,65.3,224.2,16.3,0
71,1.27,0.027,56.4,210.3,15.0,0
72,0.91,0.009,56.4,208.1,19.7,0
73,0.65,0.034,58.1,201.1,8.6,0
74,1.79,0.016,67.2,201.3,16.9,0
75,1.58,0.037,55.5,212.1,11.6,0
76,0.34,0.021,54.6,186.0,11.8,0
77,1.6,0.017,62.3,217.9,7.2,0
78,1.68,0.017,60.4,223.3,19.8,0
79,0.78,0.007,54.0,212.0,13.9,0
80,1.72,0.013,59.8,213.4,9.5,0
81,0.61,0.032,61.8,207.1,8.3,0
82,1.0,0.032,58.2,188.4,17.1,0
83,1.13,0.018,60.3,223.5,8.8,0
84,1.39,0.019,59.0,200.0,23.5,0
85,1.36,0.0,57.2,195.1,24.0,0
86,1.29,0.013,55.3,219.2,14.3,0
87,0.86,0.012,59.4,202.1,21.0,0
88,1.82,0.0,58.5,204.2,23.4,0
89,1.47,0.038,55.3,210.1,15.0,0
90,0.98,0.017,60.2,209.3,12.1,0
91,0.97,0.018,56.1,211.7,14.9,0
92,1.76,0.032,59.1,219.1,20.7,0
93,1.46,0.006,65.5,217.5,7.4,0
94,0.84,0.03,54.2,200.4,8.9,0
95,1.04,0.0,57.2,199.6,5.7,0
96,1.61,0.011,59.3,199.0,22.2,0
97,0.41,0.0,56.5,187.1,14.2,0
98,0.85,0.039,60.8,203.9,7.9,0
99,1.49,0.031,55.1,194.6,15.3,0
100,0.71,0.01,51.3,211.5,20.5,0
101,1.84,0.02,53.6,205.5,9.7,0
102,0.75,0.007,56.0,223.2,21.9,0
103,0.65,0.026,63.6,207.2,19.1,0
104,0.67,0.032,60.0,210.9,8.0,0
105,1.22,0.011,51.1,206.0,10.8,0
106,1.04,0.026,53.1,191.2,11.7,0
107,0.89,0.007,58.3,199.5,12.2,0
108,1.24,0.015,61.4,198.1,14.3,0
109,0.88,0.023,54.1,207.4,10.4,0
110,1.3,0.031,59.4,206.9,7.7,0
111,1.46,0.01,55.6,220.6,18.0,0
112,1.34,0.018,58.1,201.7,16.2,0
113,0.77,0.027,57.6,200.1,7.6,0
114,1.56,0.032,64.6,213.3,14.0,0
115,1.26,0.041,55.1,191.6,23.8,0
116,1.53,0.018,56.1,233.4,10.4,0
117,1.59,0.049,63.2,228.7,10.5,0
118,1.04,0.008,56.7,221.7,5.6,0
119,1.51,0.033,61.6,196.2,20.1,0
120,0.92,0.044,53.3,215.6,15.5,0
121,1.43,0.048,53.6,210.7,19.7,0
122,0.55,0.018,59.6,191.6,20.3,0
123,1.47,0.004,58.1,218.1,23.6,0
124,1.21,0.0,52.7,202.0,15.7,0
125,0.53,0.014,58.0,200.5,15.8,0
126,1.33,0.0,63.6,207.5,6.7,0
127,0.99,0.008,61.0,220.3,17.3,0
128,2.05,0.0,61.6,214.0,16.6,0
129,1.28,0.025,55.0,222.7,10.1,0
130,2.12,0.037,59.4,184.6,5.2,1
131,1.49,0.018,60.8,204.1,23.4,0
132,0.85,0.042,55.1,208.3,14.0,0
133,1.32,0.015,59.9,201.2,13.8,0
134,1.3,0.03,53.3,204.7,10.0,0
135,1.55,0.006,59.1,195.8,15.8,0
136,0.58,0.024,56.4,225.4,15.3,0
137,1.1,0.032,65.9,218.5,21.0,0
138,0.97,0.025,56.3,218.0,14.2,0
139,1.29,0.036,58.0,198.0,22.4,1
140,1.28,0.023,54.4,209.3,5.9,0
141,1.33,0.022,63.5,208.9,9.3,0
142,1.47,0.023,52.5,194.2,7.3,0
143,1.13,0.038,55.9,207.3,22.0,0
144,1.51,0.026,50.8,200.4,19.5,0
145,1.05,0.027,52.8,198.1,19.9,0
146,1.04,0.023,60.8,199.6,8.0,0
147,1.34,0.038,59.9,203.2,14.9,0
148,1.28,0.0,61.4,216.6,23.8,0
149,0.81,0.011,61.3,225.9,14.6,0
150,2.09,0.021,59.5,214.1,12.4,0
151,0.81,0.022,58.6,246.7,7.6,0
152,0.59,0.0,48.0,194.4,19.5,0
153,1.65,0.044,58.0,199.0,23.4,0
154,1.41,0.023,55.0,215.0,23.6,0
155,1.36,0.012,60.2,226.8,15.0,1
156,0.95,0.041,60.6,189.5,17.5,1
157,0.64,0.035,56.4,217.4,22.7,0
158,1.11,0.0,54.8,199.4,5.5,0
159,1.18,0.0,62.3,206.9,5.5,0
160,1.2,0.007,57.7,203.1,21.0,0
161,1.24,0.033,55.0,204.0,19.9,0
162,1.7,0.033,61.8,197.5,16.9,0
163,0.76,0.025,59.9,238.2,16.3,0
164,0.44,0.033,63.3,211.1,12.0,0
165,1.05,0.017,56.1,203.6,15.5,0
166,0.53,0.038,59.7,172.9,13.7,1
167,0.2,0.033,60.0,220.1,6.6,0
168,1.81,0.006,60.7,213.7,17.0,0
169,1.27,0.019,50.1,188.3,24.1,0
170,0.95,0.021,53.3,203.8,8.2,0
171,1.04,0.033,62.0,207.9,18.3,0
172,1.9,0.006,63.8,217.5,15.8,0
173,1.65,0.019,57.9,183.0,5.3,0
174,1.56,0.029,58.0,207.1,24.1,0
175,1.33,0.013,63.6,211.1,17.1,0
176,0.77,0.034,57.9,188.1,15.7,0
177,1.15,0.032,59.9,214.4,11.0,0
178,0.82,0.011,53.8,209.2,20.6,0
179,2.01,0.02,54.3,191.6,18.8,0
180,0.78,0.023,54.9,205.8,16.5,0
181,0.68,0.02,60.7,205.1,18.0,0
182,0.55,0.004,59.8,207.4,13.7,0
183,1.52,0.008,65.8,202.6,5.7,0
184,0.53,0.047,57.4,217.3,19.0,0
185,1.44,0.014,55.1,183.6,22.5,1
186,1.31,0.028,59.5,204.4,12.2,0
187,1.12,0.012,62.5,217.9,7.9,0
188,2.2,0.0,49.4,215.7,19.6,0
189,0.98,0.051,63.9,208.8,15.7,0
190,1.4,0.007,55.2,203.1,8.8,0
191,0.71,0.021,56.2,206.8,7.8,0
