ID_Diagnostico,Amplitud_Ruido_dB,Frecuencia_Pico_Hz,Temperatura_Cojinete_C,Flujo_Lubricante_L_min,Corriente_Motor_Amp,Categoria_Falla
1,55.7,2539.0,33.7,4.93,17.14,0
2,58.5,2043.0,75.9,1.92,12.0,0
3,108.4,901.0,57.2,2.28,16.2,0
4,109.5,2108.0,43.4,4.76,22.1,2
5,109.6,1306.0,25.0,2.27,21.11,2
6,80.0,2716.0,49.6,4.33,20.28,0
7,82.0,2135.0,65.3,3.03,21.48,0
8,48.0,1178.0,74.4,3.69,16.84,0
9,96.7,900.0,59.3,1.68,14.61,0
10,56.2,1385.0,54.5,1.5,16.85,0
11,109.4,1939.0,40.6,4.31,8.4,0
12,78.7,1754.0,70.4,1.04,18.0,0
13,70.7,2654.0,44.3,0.64,13.42,0
14,46.1,1862.0,93.4,4.69,12.49,0
15,70.7,603.0,32.8,1.64,16.34,0
16,101.1,842.0,54.1,2.21,15.68,0
17,68.8,426.0,63.2,1.33,19.92,0
18,92.0,552.0,81.0,3.31,11.58,0
19,55.3,439.0,86.6,4.65,12.95,0
20,101.0,1007.0,59.3,1.13,9.56,0
21,78.7,1078.0,62.0,4.91,16.91,0
22,53.6,2843.0,78.9,2.86,21.24,0
23,70.2,2134.0,73.3,2.86,14.9,0
24,92.8,2764.0,37.0,2.02,15.35,0
25,72.5,2696.0,52.4,3.52,15.63,0
26,59.8,274.0,27.4,0.91,13.6,0
27,101.8,119.0,93.5,1.5,5.0,1
28,64.1,1024.0,40.2,4.79,10.58,0
29,104.2,2163.0,59.4,4.71,22.76,2
30,96.4,2328.0,25.0,1.07,5.75,0
31,67.1,186.0,26.8,2.15,9.92,0
32,51.8,1878.0,78.5,4.82,12.73,0
33,52.4,890.0,25.0,2.12,18.01,0
34,42.0,2128.0,35.7,0.52,12.37,0
35,42.6,2845.0,52.6,2.79,15.0,0
36,62.6,2803.0,47.8,4.86,17.7,0
37,47.1,2517.0,74.5,0.9,16.81,0
38,77.1,2509.0,38.5,3.62,10.98,0
39,68.6,1670.0,38.2,3.72,22.85,0
40,45.2,1998.0,54.8,1.5,14.06,0
41,74.7,2524.0,58.8,4.78,18.16,0
42,85.8,1559.0,55.9,2.3,16.93,0
43,65.2,2509.0,72.0,1.72,13.36,0
44,54.3,438.0,51.2,2.76,21.44,0
45,95.5,1775.0,74.8,0.74,9.82,0
46,86.4,1408.0,69.5,2.17,17.85,0
47,102.0,1926.0,39.1,0.59,16.01,0
48,98.2,748.0,27.5,1.41,16.01,0
49,103.4,401.0,73.1,1.85,23.7,2
50,78.6,680.0,79.0,2.49,15.67,0
51,56.2,124.0,53.3,2.2,7.16,0
52,106.2,1689.0,39.1,1.69,8.3,0
53,59.3,969.0,63.3,3.49,13.51,0
54,63.9,219.0,31.4,1.85,12.11,0
55,59.5,1862.0,57.8,0.94,12.34,0
56,101.2,1068.0,31.3,4.27,8.33,0
57,60.1,786.0,64.4,2.6,18.53,0
58,44.0,106.0,56.2,0.73,16.13,0
59,52.3,882.0,61.6,2.84,17.79,0
60,61.4,870.0,91.5,1.41,14.72,1
61,102.7,1725.0,88.7,2.07,11.05,0
62,55.4,875.0,50.4,1.95,12.81,0
63,51.1,706.0,60.3,4.85,11.93,0
64,72.8,2708.0,25.0,1.26,16.75,0
65,102.3,1584.0,47.7,4.72,17.22,0
66,92.9,1738.0,60.8,0.57,12.84,0
67,95.9,989.0,70.0,2.25,22.73,2
68,95.1,1466.0,47.0,0.97,13.06,0
69,70.8,300.0,75.5,1.12,18.63,0
70,83.0,516.0,61.6,0.66,15.8,0
71,99.2,2177.0,56.9,4.22,9.29,0
72,68.7,2910.0,79.6,4.99,16.26,0
73,52.6,1719.0,72.7,0.72,22.47,0
74,73.5,2048.0,46.9,1.62,18.78,0
75,95.0,256.0,41.4,1.81,17.27,0
76,81.8,2896.0,59.0,0.99,11.17,0
77,66.1,2429.0,75.1,1.08,19.8,0
78,58.4,1838.0,37.5,4.46,15.37,0
79,60.8,2921.0,74.6,1.84,11.88,0
80,69.3,1026.0,51.2,2.05,17.76,0
81,101.0,312.0,59.7,0.68,18.01,0
82,70.8,2619.0,64.5,1.25,14.78,0
83,99.4,1210.0,60.8,3.96,9.3,0
84,74.1,688.0,37.2,4.1,22.68,0
85,57.2,1657.0,57.4,0.98,20.27,0
86,105.0,1687.0,69.4,1.73,18.18,0
87,91.7,374.0,25.0,2.82,14.1,0
88,109.2,2687.0,55.3,2.0,17.38,0
89,58.5,1554.0,75.8,3.67,10.41,0
90,101.7,153.0,81.9,2.13,14.92,0
91,77.8,1324.0,43.0,1.79,19.72,0
92,68.2,771.0,60.5,4.57,19.66,0
93,77.3,2250.0,63.6,4.85,13.86,0
94,77.2,1868.0,74.2,1.27,12.87,0
95,74.8,1277.0,43.4,3.91,12.13,0
96,76.8,2354.0,30.7,4.42,14.98,0
97,56.7,204.0,26.9,1.44,12.15,0
98,90.0,1128.0,63.3,1.33,11.96,0
99,109.3,1331.0,42.6,4.73,12.76,0
100,106.8,1362.0,39.2,0.84,16.08,0
101,53.3,1274.0,37.5,1.02,18.24,0
102,55.8,748.0,57.4,3.9,10.33,0
103,108.2,636.0,68.4,4.64,8.56,0
104,58.7,884.0,47.4,3.36,16.54,0
105,70.8,2287.0,45.0,1.04,13.18,0
106,102.2,2165.0,90.8,4.0,22.92,2
107,64.2,2901.0,66.4,2.36,8.79,0
108,57.2,195.0,84.7,1.53,14.49,0
109,68.9,2328.0,57.4,4.15,20.05,0
110,67.7,924.0,25.0,4.47,12.85,0
111,43.6,2304.0,46.2,2.4,17.3,0
112,92.5,1025.0,31.2,3.06,20.3,2
113,64.9,1721.0,67.8,3.02,15.85,0
114,95.4,2785.0,39.8,3.53,12.08,0
115,95.2,2652.0,33.5,0.86,17.72,0
116,66.8,2502.0,32.5,1.59,20.07,0
117,51.6,1626.0,25.0,3.85,13.11,0
118,96.2,921.0,45.6,3.52,9.42,0
119,73.0,362.0,44.7,1.5,11.96,0
120,64.6,359.0,28.2,4.99,18.53,0
121,107.5,254.0,59.1,4.56,13.32,0
122,100.6,2177.0,83.7,0.77,17.23,0
123,79.1,1518.0,53.0,4.2,14.47,0
124,53.5,949.0,51.2,1.41,11.76,0
125,84.0,753.0,58.9,3.46,13.56,0
126,44.7,2325.0,68.0,4.02,16.88,0
127,104.8,1652.0,47.6,2.3,8.55,0
128,42.8,107.0,70.9,2.29,10.76,0
129,57.9,251.0,65.9,1.37,17.93,0
130,61.9,2211.0,39.9,4.68,19.39,0
131,41.2,2803.0,52.1,2.11,22.65,0
132,48.0,2592.0,39.2,3.26,15.13,0
133,42.3,509.0,64.8,4.93,15.91,0
134,73.3,1184.0,37.8,1.81,12.3,0
135,86.8,254.0,73.7,3.58,14.92,0
136,58.4,2108.0,83.2,2.62,12.28,0
137,74.0,2550.0,59.1,3.9,17.04,0
138,102.5,1445.0,47.3,0.53,16.81,0
139,52.3,439.0,27.3,4.28,16.15,0
140,63.3,384.0,60.0,1.87,13.8,0
141,101.9,1150.0,71.8,2.64,17.79,0
142,43.7,2223.0,56.2,3.03,8.38,0
143,40.9,2949.0,57.5,2.09,11.99,0
144,81.9,2296.0,66.5,4.37,16.56,0
145,48.2,1928.0,61.8,1.56,14.66,0
146,100.5,1313.0,83.4,3.76,16.73,0
147,81.8,2312.0,48.5,1.97,17.74,0
148,89.3,376.0,49.8,4.39,16.14,0
149,67.5,1083.0,37.2,3.04,18.74,0
150,62.1,1646.0,58.1,4.4,9.47,0
151,55.5,1762.0,77.5,1.29,13.26,0
152,82.7,980.0,77.3,4.01,8.0,0
153,64.4,119.0,50.1,4.21,11.97,0
154,88.9,943.0,55.3,2.83,11.95,0
155,80.1,730.0,48.6,1.24,13.6,0
156,63.6,2152.0,38.4,1.66,13.59,0
157,97.7,1635.0,73.9,3.35,12.26,0
158,80.5,2755.0,55.1,4.36,17.18,0
159,51.2,1163.0,60.3,4.58,14.28,0
160,79.7,657.0,37.2,4.59,12.59,0
161,51.9,2979.0,25.0,4.03,14.03,0
162,40.4,1823.0,72.3,0.62,9.2,0
163,65.0,2323.0,81.6,0.62,11.22,0
164,45.0,2327.0,28.1,1.7,17.29,0
165,57.9,1737.0,30.7,1.53,20.71,0
166,104.1,2108.0,86.4,2.28,15.19,0
167,95.8,254.0,63.7,3.08,15.12,0
168,77.3,1025.0,56.4,2.88,12.8,0
169,68.6,2870.0,88.2,2.64,18.05,0
170,83.3,2586.0,71.0,4.24,16.14,0
171,109.3,438.0,58.3,0.97,13.57,0
172,66.2,2127.0,81.0,4.25,16.4,0
173,59.3,1687.0,30.0,1.65,14.05,0
174,95.6,2317.0,64.9,0.54,17.23,0
175,73.1,1272.0,64.7,4.66,16.86,0
176,90.0,1032.0,58.5,3.91,11.61,0
177,97.5,1230.0,45.0,1.4,7.46,0
178,105.3,357.0,74.8,2.56,14.07,0
179,84.1,2803.0,47.4,2.12,17.06,0
180,52.9,2993.0,56.1,3.82,22.54,0
181,101.9,1154.0,45.7,1.11,16.23,0
182,85.6,1964.0,41.1,4.57,8.88,0
183,102.5,469.0,35.7,4.13,20.91,2
184,92.2,2163.0,66.0,4.58,12.78,0
185,100.3,901.0,61.0,3.25,15.62,0
186,55.0,821.0,26.3,4.32,12.3,0
187,57.7,162.0,47.5,3.24,15.29,0
188,65.6,1143.0,60.7,0.55,14.66,0
189,60.7,2543.0,55.1,4.22,13.43,0
190,67.9,2166.0,30.8,4.94,17.18,0
191,47.4,1928.0,36.3,1.38,13.95,0
192,88.3,2811.0,42.6,3.17,8.98,0
193,96.3,2993.0,55.7,3.42,16.6,0
194,104.9,605.0,97.5,3.82,9.17,0
195,50.5,343.0,65.6,2.91,19.21,0
196,53.0,1962.0,56.7,4.81,12.88,0
197,59.9,2526.0,45.9,1.62,17.82,0
198,84.6,2906.0,63.4,2.97,15.65,0
199,94.0,496.0,74.1,3.02,13.98,0
200,101.8,2056.0,53.9,4.81,11.09,0
201,99.6,2525.0,85.0,1.6,12.65,0
202,61.9,1522.0,67.3,3.45,11.68,0
203,77.1,1898.0,88.8,3.88,11.61,0
204,48.1,1708.0,68.7,2.8,13.38,0
205,59.2,1653.0,45.1,3.65,22.02,0
206,86.9,631.0,45.8,4.15,8.55,0
207,63.7,1021.0,71.3,0.77,16.77,0
208,58.2,2331.0,26.1,3.15,16.36,0
209,53.7,168.0,45.3,1.92,16.34,0
210,53.1,2745.0,25.0,1.05,15.58,0
211,46.8,2129.0,93.4,2.12,15.02,0
212,68.1,2198.0,25.0,3.01,12.47,0
213,57.7,1967.0,62.7,2.5,11.37,0
214,62.8,1250.0,77.0,4.93,16.69,0
215,50.7,1437.0,80.8,0.58,26.5,0
216,57.5,711.0,63.7,4.71,15.34,0
217,108.9,2932.0,62.0,1.5,13.55,0
218,84.4,650.0,78.4,2.73,21.21,0
219,45.1,1795.0,63.1,2.55,16.09,0
220,47.4,1597.0,50.6,2.4,7.13,0
221,90.6,1106.0,60.7,2.52,19.43,0
222,94.5,1251.0,29.9,3.05,25.7,2
223,71.7,231.0,49.0,1.54,17.91,0
224,56.6,598.0,37.8,1.39,11.71,0
225,101.5,2667.0,28.4,4.46,12.81,0
226,74.3,908.0,61.7,1.2,14.58,0
227,86.8,763.0,61.0,2.2,13.5,0
228,87.9,744.0,66.8,0.89,20.52,2
229,60.9,429.0,30.7,4.37,12.48,0
230,66.4,1000.0,41.2,1.44,13.74,0
231,42.5,2844.0,69.2,3.18,19.61,0
232,61.7,182.0,28.4,4.24,13.73,0
233,60.1,2275.0,46.4,2.03,12.3,0
234,65.1,2423.0,35.1,4.77,20.35,0
235,97.6,1542.0,42.3,4.36,15.21,0
236,96.0,422.0,61.1,1.77,14.69,0
237,41.0,2995.0,68.7,2.41,16.37,0
238,96.1,378.0,51.4,2.14,10.4,0
239,60.6,620.0,61.2,1.93,10.41,0
240,61.7,1322.0,56.2,2.93,14.91,0
241,92.2,2507.0,87.5,1.09,15.9,1
242,57.5,1807.0,53.0,1.31,13.77,0
243,98.8,181.0,96.2,1.75,12.84,1
244,49.2,2682.0,48.5,3.54,18.34,0
245,77.9,558.0,27.1,2.17,18.02,0
246,64.6,2819.0,45.7,1.38,13.37,0
247,94.4,945.0,48.4,1.68,12.26,0
248,94.0,1805.0,53.0,2.45,10.23,0
249,96.1,2100.0,59.6,2.79,14.52,0
250,93.1,293.0,70.1,4.56,12.25,0
251,50.6,1505.0,58.2,1.57,13.34,0
252,61.3,2743.0,25.0,3.26,17.78,0
253,70.8,1309.0,53.8,1.62,12.79,0
254,62.5,2735.0,76.6,3.67,6.73,0
255,97.7,339.0,25.0,2.82,8.73,0
256,101.4,2894.0,39.0,0.7,19.84,0
257,67.0,209.0,96.5,4.19,14.58,0
258,103.1,2461.0,62.6,3.85,13.8,0
259,99.0,1401.0,70.9,3.26,16.31,0
260,85.9,2758.0,56.9,2.97,14.83,0
261,41.4,2807.0,36.2,2.27,19.51,0
262,81.5,1274.0,57.6,3.43,16.07,0
263,42.2,2682.0,46.3,4.7,12.93,0
264,104.0,2705.0,60.1,1.06,13.59,0
