ID_Monitoreo,Ocupacion_Buffer_Pct,Tiempo_Paro_Acumulado_Min,Eficiencia_OEE_Pct,Velocidad_Ensamblaje_Ppm,Alertas_SCADA_Turno,Anomalia_Cuello_Botella
1,77.5,5.5,75.3,46.5,3,0
2,35.3,1.8,69.3,48.7,0,0
3,59.6,9.1,55.5,22.6,1,0
4,83.0,36.6,88.0,38.8,1,0
5,65.9,39.5,89.2,32.3,1,0
6,49.2,1.6,93.9,37.0,1,0
7,26.8,40.9,93.3,37.9,8,0
8,42.4,11.6,91.2,42.5,2,0
9,36.0,38.7,57.2,37.7,1,0
10,62.9,25.1,66.5,44.1,3,0
11,69.0,3.3,79.8,52.4,2,0
12,23.1,7.2,71.2,36.0,2,0
13,18.8,20.3,58.3,34.1,2,0
14,59.8,16.0,57.2,32.7,3,0
15,70.2,2.5,81.4,31.9,3,0
16,29.9,28.3,87.9,36.0,2,0
17,12.1,2.8,95.9,42.7,3,0
18,21.3,3.2,55.5,17.1,2,0
19,76.9,25.1,52.1,41.0,3,0
20,58.4,7.9,71.2,47.9,0,0
21,17.5,11.8,91.9,31.6,3,0
22,78.3,3.7,81.9,38.1,0,0
23,12.7,17.3,50.4,36.9,1,0
24,58.5,15.9,64.9,33.2,1,0
25,99.9,15.9,54.3,44.1,3,0
26,11.0,17.0,68.2,37.3,1,0
27,95.7,1.4,74.1,45.0,3,0
28,15.8,1.6,65.1,56.3,1,0
29,46.6,22.6,76.4,47.0,2,0
30,56.1,11.1,70.6,28.4,1,0
31,37.9,2.7,95.5,39.1,1,0
32,70.1,12.4,84.8,24.3,2,0
33,55.5,20.5,81.1,36.4,3,0
34,29.3,22.2,52.2,48.6,1,0
35,16.7,26.0,54.1,39.9,1,0
36,47.9,0.0,70.4,36.5,1,0
37,42.3,16.8,87.8,38.7,0,0
38,28.6,15.0,73.4,37.4,3,0
39,37.4,2.0,86.2,32.3,4,0
40,73.8,22.5,64.2,40.6,2,0
41,94.4,1.7,78.5,55.6,4,0
42,91.7,2.0,73.0,41.1,3,0
43,99.2,16.2,56.1,44.6,2,0
44,79.7,33.7,65.8,36.8,2,0
45,71.5,28.0,72.2,41.0,2,0
46,83.8,4.7,92.6,41.3,1,0
47,93.8,16.8,50.4,33.5,4,0
48,83.9,11.3,78.2,24.2,3,0
49,34.3,12.9,97.3,32.0,3,0
50,84.0,7.1,58.3,34.8,2,0
51,91.0,14.9,65.5,49.5,7,1
52,22.8,13.5,85.6,33.8,2,0
53,92.9,20.7,86.2,37.0,1,0
54,26.8,1.9,70.5,43.1,1,0
55,74.1,72.4,62.2,42.5,2,0
56,17.7,4.3,65.8,49.8,2,0
57,73.3,9.3,64.4,48.2,4,0
58,28.1,46.4,82.1,33.2,1,0
59,83.0,26.7,89.2,36.3,3,0
60,30.4,1.0,84.3,42.9,0,0
61,68.3,2.1,67.3,56.1,4,0
62,36.6,3.9,78.7,51.5,2,0
63,26.6,15.6,59.6,37.0,3,0
64,83.1,3.7,73.7,43.9,1,0
65,70.9,30.4,55.0,37.3,2,0
66,14.3,1.5,50.3,31.7,2,0
67,91.4,0.1,54.7,27.5,1,0
68,66.2,8.3,93.4,41.9,2,0
69,82.8,23.0,75.3,41.8,2,0
70,55.5,4.9,78.8,34.6,1,0
71,23.5,10.3,59.0,49.8,1,0
72,16.2,12.7,64.1,32.9,2,0
73,68.3,18.1,79.9,45.5,2,0
74,51.6,19.7,72.2,39.4,0,0
75,29.9,19.2,51.3,57.2,2,0
76,47.2,3.4,88.5,45.6,2,0
77,14.9,3.5,87.1,36.8,0,0
78,86.1,1.3,79.2,28.3,1,0
79,74.7,21.5,51.6,36.7,6,0
80,75.0,8.4,67.7,48.2,3,0
81,75.9,13.7,60.2,41.4,2,0
82,71.6,7.2,63.4,20.6,1,0
83,36.0,7.2,82.7,34.7,3,0
84,22.7,57.6,64.6,52.0,2,0
85,79.3,11.2,89.9,36.2,1,0
86,89.1,1.7,51.2,38.5,0,0
87,87.1,3.1,55.0,42.2,3,0
88,53.9,1.1,65.9,44.4,3,0
89,11.9,32.9,86.9,36.4,3,0
90,55.5,25.4,95.5,35.5,4,0
91,97.8,18.4,54.1,32.4,3,0
92,89.7,25.4,68.4,44.6,1,0
93,37.4,0.9,51.4,44.7,3,0
94,15.5,41.1,68.0,54.8,1,0
95,21.5,16.5,59.1,42.8,1,0
96,24.7,0.9,87.0,41.4,2,0
97,36.8,4.6,66.1,46.5,1,0
98,78.5,5.4,92.9,41.3,2,1
99,21.9,3.0,75.3,40.0,0,0
100,18.1,2.3,62.8,41.7,3,0
101,54.8,7.9,71.9,38.5,1,0
102,72.5,31.9,65.7,31.7,2,0
103,60.4,41.9,53.5,44.5,1,0
104,55.0,14.5,57.0,41.9,2,0
105,50.3,9.7,58.5,38.0,3,0
106,16.9,0.7,71.9,41.6,1,0
107,85.9,10.6,60.5,26.1,1,0
108,87.4,24.7,76.0,33.0,2,0
109,58.7,0.9,58.2,43.9,2,0
110,29.2,10.9,88.7,41.3,4,0
111,40.0,2.2,51.4,47.8,1,0
112,45.0,10.0,92.1,46.6,1,0
113,60.6,31.3,78.9,38.6,4,0
114,46.6,15.5,86.5,46.5,3,0
115,55.3,24.8,83.8,52.8,1,0
116,98.1,32.6,75.7,44.0,1,0
117,91.9,2.2,56.2,38.6,2,0
118,80.5,15.1,88.3,37.6,1,0
119,14.4,2.0,97.8,50.3,3,0
120,82.4,2.7,61.4,26.2,2,0
121,87.0,1.7,70.9,49.7,1,0
122,60.6,20.7,85.3,33.2,4,0
123,80.0,27.6,93.8,44.5,3,0
124,91.8,4.6,96.8,42.9,2,0
125,86.2,8.2,82.3,44.1,1,0
126,48.9,0.3,62.9,47.9,3,0
127,74.6,33.1,76.8,36.1,3,0
128,36.9,12.0,81.7,49.3,2,0
129,72.0,18.2,97.0,43.1,1,0
130,79.9,3.1,65.7,53.2,1,0
131,16.0,15.0,63.0,31.0,2,0
132,26.2,2.8,80.6,39.6,4,0
133,70.0,10.0,60.6,38.6,0,0
134,29.5,17.7,84.2,31.6,0,0
135,99.6,8.2,70.5,33.3,1,0
136,49.2,33.4,68.3,42.8,2,0
137,48.9,24.9,73.3,25.4,0,0
138,27.4,1.8,65.1,47.5,4,0
139,98.8,4.0,57.0,48.7,2,0
140,61.0,23.7,95.1,43.2,2,0
141,93.7,43.5,60.1,44.7,4,1
142,32.9,13.2,68.5,41.9,2,0
143,13.6,9.1,85.5,46.6,2,0
144,39.5,1.6,73.9,43.6,4,0
145,89.6,15.2,55.0,30.2,0,0
146,71.7,28.4,89.7,52.9,3,0
147,30.2,19.6,59.6,38.9,1,0
148,48.6,51.3,83.0,23.6,3,0
149,80.4,0.3,91.9,27.9,1,0
150,26.6,8.5,64.6,27.0,2,0
151,38.3,29.7,55.8,35.9,1,0
152,67.4,1.4,75.8,39.1,3,0
153,62.7,34.4,66.2,43.6,1,0
