ID_Orden,Unidades_Ordenadas,Num_Componentes_BOM,Experiencia_Operador_Anos,Nivel_Complejidad,Mantenimiento_Programado_Turno,Tiempo_Ciclo_Minutos
1,913,34,8.5,2,0,272.2
2,573,17,13.0,2,1,171.84
3,387,41,6.6,4,0,217.36
4,888,35,5.1,2,0,284.42
5,625,15,9.5,2,1,189.97
6,649,12,12.7,2,0,161.08
7,125,27,12.5,5,1,146.88
8,443,13,5.6,4,0,166.37
9,602,11,12.0,2,0,157.33
10,694,19,7.7,3,0,212.56
11,625,10,0.9,3,0,194.66
12,986,35,4.8,5,0,330.13
13,807,16,8.9,4,0,238.28
14,366,19,2.9,2,0,144.91
15,782,27,0.8,4,0,267.19
16,754,36,4.6,5,0,281.53
17,160,22,3.6,2,0,118.94
18,55,13,3.7,3,0,80.96
19,958,16,4.6,2,1,241.64
20,527,27,6.7,3,1,202.86
21,90,25,6.9,2,0,108.33
22,99,36,9.3,2,0,130.06
23,901,28,0.7,4,0,286.56
24,673,23,8.2,3,0,215.49
25,556,32,6.1,2,1,220.53
26,186,26,11.7,3,0,128.48
27,421,38,7.3,5,0,236.71
28,975,27,8.3,4,1,296.71
29,933,26,2.4,3,0,286.54
30,109,9,2.9,4,1,108.48
31,468,38,1.0,3,0,227.51
32,606,9,4.6,2,0,154.95
33,890,26,13.8,5,0,283.13
34,299,9,1.5,3,0,123.22
35,325,40,12.2,1,0,166.89
36,688,40,8.9,3,0,257.94
37,956,13,12.8,2,0,218.57
38,126,41,11.3,2,0,129.45
39,785,18,4.9,3,0,228.85
40,669,16,3.1,2,0,193.8
41,393,42,7.8,4,0,223.86
42,946,27,9.7,3,0,267.7
43,155,36,7.6,3,0,160.89
44,553,43,7.1,3,0,246.22
45,507,23,12.7,3,1,185.14
46,289,22,3.8,5,0,178.52
47,314,25,8.7,5,0,177.43
48,624,13,5.3,2,0,173.08
49,726,17,4.0,3,1,222.98
50,149,16,7.8,4,1,129.43
51,334,14,13.3,2,1,118.35
52,881,27,0.8,1,1,262.91
53,569,11,3.2,4,0,189.75
54,956,31,6.1,2,0,274.42
55,486,26,13.3,4,0,197.4
56,490,41,5.9,4,1,249.44
57,665,25,9.2,2,1,209.14
58,344,15,3.1,3,0,148.36
59,800,9,7.0,3,0,211.02
60,379,14,4.0,4,1,158.26
61,486,35,8.4,5,1,242.4
62,452,19,2.6,3,0,173.74
63,553,21,11.7,3,1,184.86
64,377,21,12.0,2,0,141.36
65,665,21,0.9,2,0,209.48
66,961,13,2.3,3,1,264.9
67,350,28,7.8,1,1,149.38
68,562,41,4.2,2,0,226.6
69,678,38,6.3,3,0,254.12
70,412,34,11.0,1,0,164.08
71,190,10,7.5,4,0,108.48
72,323,37,14.3,5,0,199.79
73,810,16,6.3,5,0,254.81
74,253,27,2.0,4,1,178.31
75,513,17,8.2,3,1,180.58
76,915,19,9.9,4,0,258.1
77,714,26,1.7,5,0,251.37
78,726,44,9.5,5,1,303.22
79,942,15,6.1,2,0,241.43
80,753,33,7.3,4,0,269.89
81,325,24,9.9,3,0,156.35
82,548,34,2.2,3,0,223.13
83,469,26,10.6,4,1,204.5
84,592,28,8.9,5,0,240.92
85,60,25,14.5,3,0,97.42
86,549,16,8.1,2,1,175.21
87,665,31,14.0,1,0,204.49
88,326,10,13.3,2,0,102.38
89,973,36,8.1,2,1,299.16
90,826,28,9.1,2,0,232.15
91,904,39,11.6,3,1,302.4
92,428,28,14.4,2,0,159.84
93,844,7,4.2,2,0,215.57
94,549,24,9.2,3,0,190.38
95,905,21,6.7,3,0,254.33
96,736,32,1.7,2,0,231.34
97,97,6,13.1,3,0,61.11
98,791,29,13.2,4,0,257.75
99,264,38,3.5,2,0,183.06
100,187,24,5.2,1,0,112.02
101,735,6,12.9,2,0,166.07
102,436,11,3.7,3,0,153.33
103,452,23,12.3,1,0,147.11
104,620,35,10.6,2,1,227.62
105,289,35,3.1,3,0,183.99
106,142,41,6.0,3,1,178.25
107,957,19,9.5,4,1,275.74
108,557,30,8.6,4,1,224.64
109,444,16,7.8,4,1,177.95
110,675,13,8.0,4,0,202.19
111,528,21,13.3,2,1,171.39
112,469,16,15.0,2,0,139.4
113,590,6,14.2,3,0,164.46
114,53,35,4.4,3,0,128.54
115,901,18,10.2,4,1,260.77
116,390,15,0.7,2,1,147.88
117,353,41,6.3,4,0,209.47
118,576,13,6.3,3,1,189.84
119,300,14,3.1,2,0,110.7
120,759,39,3.2,4,0,281.09
121,555,31,14.9,2,0,193.48
122,247,5,2.3,2,1,105.48
123,682,23,7.3,4,1,240.55
124,997,17,13.2,3,0,252.6
125,312,12,4.2,5,0,150.17
126,153,34,2.1,4,0,170.78
127,279,25,11.1,5,1,181.59
128,416,15,13.3,5,1,169.21
129,121,34,1.4,3,0,152.73
130,407,33,12.4,5,0,203.19
131,294,32,10.0,4,0,173.92
132,969,10,13.3,2,1,222.81
133,725,26,13.1,2,0,211.35
134,257,25,5.5,5,0,169.29
135,276,42,2.0,5,0,218.83
136,501,18,8.4,3,0,182.34
137,900,36,10.2,3,0,282.98
138,511,14,2.2,4,0,186.75
139,96,43,9.9,3,0,155.04
140,693,36,3.4,5,0,290.08
141,608,33,8.7,4,0,243.53
142,558,9,7.2,3,0,163.08
143,847,14,7.8,3,1,232.36
144,520,15,14.9,2,1,156.98
145,199,30,14.2,3,1,142.97
146,428,40,8.3,2,0,195.83
147,71,30,8.3,4,0,134.16
148,515,14,2.6,2,0,160.81
149,585,17,8.3,3,0,191.42
