ID_Proceso,Presion_Hidraulica_Bar,Vibracion_Husillo_mm_s,Temperatura_Refrigerante_C,Piezas_Procesadas_Herramienta,Velocidad_Corte_RPM,Desgaste_Herramienta_Micras
1,137.4,1.02,34.7,1266,1747,87.28
2,164.4,1.66,35.9,1477,2187,110.98
3,170.1,4.18,47.0,63,3491,71.73
4,153.3,2.79,31.8,549,1254,66.0
5,133.9,2.62,34.9,168,2597,58.99
6,180.1,3.78,62.0,1447,3063,136.73
7,142.5,0.62,37.8,308,1722,46.39
8,133.2,3.31,46.5,1138,2436,114.72
9,160.2,2.99,56.9,1290,2289,113.99
10,125.5,2.71,35.5,429,1399,63.14
11,136.1,0.57,37.6,496,1324,47.95
12,156.1,3.12,28.1,852,2728,92.84
13,151.8,5.27,43.9,59,2035,75.18
14,136.4,4.28,45.1,1718,1446,141.08
15,133.2,3.8,48.4,1546,3122,140.84
16,160.2,2.68,33.8,1458,2404,117.77
17,153.9,4.48,54.8,252,2115,80.42
18,174.9,5.0,53.2,1227,2255,133.43
19,152.2,1.11,43.4,887,2401,80.71
20,146.5,3.55,32.4,661,3413,99.2
21,150.6,5.3,42.1,1607,2713,154.73
22,142.7,4.98,50.9,517,3299,99.94
23,155.1,1.0,45.5,98,2773,43.98
24,111.5,2.69,37.7,599,3241,83.99
25,166.3,4.31,57.4,1832,1506,147.44
26,131.5,4.89,51.6,1566,2218,149.77
27,127.6,4.66,39.0,1664,3228,142.95
28,150.5,5.08,40.8,260,2116,86.59
29,147.9,5.37,63.5,1832,2185,161.56
30,138.8,1.41,25.0,378,2345,58.92
31,132.3,3.68,47.8,98,2509,72.93
32,141.5,1.8,52.6,386,3249,77.46
33,166.4,5.13,69.4,1745,2944,169.97
34,134.7,2.31,50.3,1214,2853,109.17
35,164.4,1.71,43.6,1169,3324,101.53
36,158.2,3.51,46.8,1511,1305,115.24
37,161.8,5.81,52.2,874,1215,111.53
38,141.6,3.67,42.0,1661,1632,124.5
39,142.8,5.73,45.2,64,1271,74.79
40,153.7,3.83,44.8,1165,2943,115.9
41,135.8,4.22,40.7,1492,1260,128.17
42,159.6,5.44,42.4,1320,1249,132.39
43,141.4,3.9,41.6,1727,3296,156.05
44,159.8,3.05,47.5,962,1806,101.22
45,129.9,3.82,61.4,1008,2277,111.86
46,164.5,2.94,56.1,158,1414,60.94
47,157.3,5.85,33.4,1253,1306,115.26
48,142.6,2.89,56.4,540,1728,84.52
49,145.2,0.9,46.2,82,3296,54.07
50,151.9,2.65,50.9,1122,1784,105.62
51,153.6,1.1,51.0,1642,2678,120.44
52,161.8,1.68,40.1,989,3369,95.08
53,150.4,4.19,39.4,86,1445,59.33
54,170.8,4.93,60.4,341,2510,84.11
55,141.9,4.01,45.4,1447,2886,134.57
56,181.6,0.87,60.8,1606,2975,114.31
57,143.4,2.61,36.7,1766,1467,120.3
58,129.0,1.23,58.1,336,2450,60.96
59,164.7,3.45,52.7,270,1547,66.29
60,164.5,1.19,39.2,627,3092,68.6
61,163.5,5.86,33.3,1802,2573,155.72
62,167.0,2.97,52.8,1871,1513,135.74
63,139.0,2.61,43.7,249,3293,75.24
64,143.5,4.93,48.8,80,1220,76.74
65,156.6,3.94,60.1,1992,1513,149.61
66,154.7,3.81,46.5,1264,2760,122.81
67,149.4,3.31,45.3,133,1341,63.13
68,167.4,5.13,49.1,675,3059,113.51
69,150.1,5.77,39.3,329,3095,98.66
70,143.7,3.54,66.3,1657,1784,147.42
71,144.5,3.85,62.7,1195,1451,115.3
72,147.6,3.84,51.8,486,3246,91.78
73,165.3,2.23,49.1,216,3206,69.72
74,138.2,5.4,53.9,320,3070,101.19
75,179.2,4.05,43.7,731,1251,83.39
76,149.6,4.34,41.1,1703,1793,141.86
77,149.7,2.11,34.9,1877,1469,122.65
78,193.6,4.88,49.2,847,3447,124.52
79,138.2,1.61,50.2,746,1224,72.49
80,148.5,1.99,47.6,1993,2869,141.69
81,151.6,5.12,40.3,57,3230,84.69
82,151.5,5.35,45.5,113,2696,77.65
83,128.1,0.62,41.9,1088,1988,84.12
84,153.1,5.61,53.7,320,1596,83.78
85,134.0,1.98,41.1,773,2959,88.0
86,126.2,4.06,45.2,101,3160,80.59
87,119.4,3.58,50.9,1120,2528,123.76
88,170.2,1.35,49.2,128,2385,53.22
89,156.2,4.43,38.4,1795,2787,151.34
90,150.0,4.71,31.7,1271,1555,117.32
91,150.8,3.77,34.1,659,1338,76.94
92,151.2,1.5,49.4,1239,2277,104.9
93,152.9,4.33,49.2,1206,1280,114.47
94,166.9,4.02,60.9,1242,1632,122.27
95,152.6,2.91,43.3,1829,1508,135.1
96,151.8,3.87,44.2,1277,1467,108.38
97,146.6,2.2,44.1,1793,1927,127.05
98,167.3,0.59,40.5,415,3492,63.97
99,135.3,3.34,38.9,1918,3372,152.17
100,166.0,5.25,28.7,613,2183,101.73
101,165.7,3.31,47.2,1233,2855,119.72
102,160.7,4.31,46.3,632,3244,98.95
103,133.3,3.05,48.4,1962,1902,142.27
104,159.9,2.44,52.4,1862,3082,144.01
105,150.0,3.8,34.8,1216,2934,119.49
106,150.2,1.7,39.6,724,1366,71.89
107,130.0,1.06,25.0,1992,1227,110.23
108,145.6,0.66,35.5,141,1668,32.37
109,150.6,1.74,46.2,379,3273,67.7
110,154.1,4.29,44.6,1068,2274,110.74
111,148.6,0.53,48.2,1844,1741,115.53
112,152.4,1.99,49.9,1335,3103,112.96
113,148.6,1.68,54.3,824,3273,95.92
114,146.3,2.16,32.3,1794,2319,127.02
115,155.2,5.15,39.6,727,2443,105.38
116,160.8,2.14,48.7,126,1515,48.45
117,144.4,0.71,30.5,291,2623,51.09
118,128.2,2.27,56.0,415,1396,72.02
119,140.9,5.13,49.4,345,3430,108.4
120,158.1,3.48,54.7,585,2067,94.21
121,165.7,5.43,42.6,254,3342,90.97
122,128.9,1.97,44.6,1061,3251,103.95
123,162.6,1.96,56.9,331,2035,66.77
124,152.6,5.98,41.5,1137,1747,128.39
125,147.6,2.06,43.2,811,3269,93.26
126,143.6,5.4,32.2,350,1567,88.51
127,161.7,3.86,39.0,1543,3439,138.52
128,136.4,5.42,50.6,1840,3014,168.85
129,151.8,5.14,58.0,1260,2300,131.97
130,147.2,4.52,51.0,596,1217,88.46
131,157.8,4.05,39.8,894,1431,94.15
132,148.8,1.65,53.4,135,2361,49.36
133,137.8,5.83,47.6,1140,2034,128.48
134,163.4,3.29,57.9,904,1228,89.28
135,165.0,0.86,49.1,1549,2461,104.36
136,149.9,4.01,42.3,110,1391,54.86
137,146.0,3.69,51.1,1751,3034,144.64
138,148.4,5.29,53.0,342,2003,96.64
139,159.9,2.36,54.8,269,1207,56.43
140,172.8,3.41,49.9,866,2658,99.89
141,148.6,1.75,45.7,1458,1461,108.51
142,147.5,1.94,49.1,1125,2226,99.41
143,145.8,5.8,49.0,1674,3224,163.4
144,141.8,4.33,66.0,1850,2333,148.55
145,146.5,2.53,38.8,424,2650,69.05
146,149.9,2.55,36.1,954,2079,92.09
147,121.6,5.26,51.8,795,2618,115.92
148,171.1,3.98,42.9,361,1279,64.48
149,133.9,5.29,39.6,1947,1358,153.43
150,152.9,3.38,52.6,1249,2860,132.09
151,144.8,0.59,54.0,763,2835,80.13
152,129.7,2.76,27.8,1998,1420,140.41
153,164.8,5.55,47.4,333,3451,99.65
154,130.1,4.41,45.4,1875,2922,158.92
155,150.4,2.15,46.4,1018,2366,94.18
156,146.1,5.14,50.6,96,3107,87.93
157,133.1,1.19,39.9,1217,2872,98.86
158,129.1,4.8,46.5,871,2266,106.23
159,154.7,2.1,39.7,1268,1307,90.2
160,151.9,4.49,32.7,659,2957,98.9
161,164.3,3.96,41.9,1117,2391,116.99
162,130.8,4.0,49.1,1685,1637,133.16
163,144.0,0.56,46.3,1494,1552,101.31
164,126.3,4.77,58.9,1121,2061,126.11
165,141.3,5.37,56.5,818,2548,120.56
166,132.6,2.36,40.2,606,2627,81.33
167,168.0,3.43,54.5,748,2077,95.21
168,157.7,1.47,33.1,1179,2447,92.13
169,159.2,5.96,34.4,1587,2159,145.37
170,150.1,4.58,39.2,1821,2305,149.58
171,162.5,4.81,56.5,661,1609,100.65
172,149.3,0.6,31.9,1257,3251,98.44
173,129.1,2.75,43.6,1664,1390,119.27
174,148.0,2.37,40.6,520,2391,75.54
175,172.6,3.03,50.4,587,2180,72.95
176,171.5,4.12,54.6,1297,2499,131.65
177,122.7,1.01,34.5,1908,3277,129.51
178,155.6,2.21,52.1,757,3201,94.7
179,170.8,0.81,34.6,170,2977,48.94
180,137.9,1.89,35.4,399,3374,80.01
181,127.9,5.18,44.2,804,3239,118.88
182,150.4,1.6,50.9,1271,1982,102.92
183,155.7,4.97,45.0,1406,3030,145.07
184,129.2,5.23,49.1,1327,3250,145.98
185,127.3,3.73,42.2,138,1398,63.29
186,136.6,3.23,40.1,444,3035,86.39
187,136.7,1.89,49.5,1236,2098,100.2
188,150.5,1.58,66.8,735,2811,94.08
189,171.9,4.67,59.1,237,1820,80.42
190,140.1,1.75,49.3,1960,1373,132.61
191,148.5,1.06,49.2,665,3498,81.92
192,169.9,4.14,47.5,808,1657,95.5
193,150.9,4.13,46.8,1391,1949,112.84
194,128.3,1.97,41.0,206,2892,70.27
195,119.4,2.56,46.8,1898,1771,137.32
196,150.1,0.81,45.2,1678,1990,110.8
197,144.3,3.31,34.6,140,3426,66.62
198,142.9,1.28,40.3,1347,3280,116.3
199,153.4,1.49,53.9,290,2290,62.4
200,115.9,5.43,25.0,461,2523,94.06
201,136.9,5.04,43.6,1640,2780,153.83
202,150.2,1.01,35.3,391,2450,58.52
203,140.3,2.22,42.6,301,2094,59.47
204,135.6,1.78,38.6,745,3273,80.65
205,129.4,2.13,68.4,1322,3390,124.26
206,138.1,3.32,56.4,474,1867,83.35
207,143.1,0.79,32.8,1908,2791,127.65
208,160.3,4.69,35.4,466,3303,97.64
209,141.3,0.56,27.5,1165,1232,72.3
210,126.3,4.02,47.8,102,2163,69.3
211,195.5,1.83,40.4,624,2855,70.61
212,150.9,1.89,45.0,1608,2182,119.92
213,125.5,4.85,47.1,778,3252,123.98
214,145.4,4.98,52.1,1657,2569,155.25
215,137.1,3.7,59.2,1108,1710,112.73
216,159.8,2.01,44.6,89,1992,53.24
217,153.2,1.93,44.5,1099,1546,86.68
218,139.4,3.81,62.9,94,1848,67.95
219,135.3,1.59,43.2,1618,3143,130.81
220,143.0,2.9,38.5,1946,1506,138.11
221,148.0,4.37,43.6,1095,2592,117.58
222,150.2,5.24,38.7,1031,2049,111.4
223,149.5,3.66,35.3,1359,3490,131.07
224,172.4,4.54,40.3,611,3200,104.36
225,141.9,3.01,25.0,674,3192,79.29
226,132.5,3.29,55.6,326,3120,88.88
227,143.6,1.55,48.1,793,3017,81.93
228,105.7,0.88,39.6,522,1343,54.52
229,158.9,2.04,48.7,1792,2222,127.14
230,146.5,4.75,39.5,1111,1929,113.76
231,173.1,0.56,55.0,1716,1917,111.46
232,156.0,5.19,47.8,958,1887,117.7
233,156.1,4.98,32.2,1335,1335,118.33
234,149.1,5.83,43.5,943,1363,117.85
235,173.4,5.06,28.2,257,2601,80.58
236,168.3,5.82,51.5,1322,1308,125.53
237,143.5,0.8,52.0,1583,3224,122.57
238,156.1,3.15,46.1,246,1775,65.65
239,159.3,1.04,43.9,457,2202,58.29
240,141.1,5.88,52.2,1109,1924,128.3
241,156.8,2.11,50.3,720,2613,80.86
242,149.2,3.78,46.4,1049,3499,122.25
243,157.6,5.75,66.0,1849,1581,171.74
244,150.0,3.95,39.0,662,2152,89.29
245,133.5,1.6,40.0,408,1461,56.63
246,137.7,5.04,51.1,788,1442,101.91
247,133.7,1.17,69.0,1473,1908,117.46
248,163.8,2.63,57.0,96,2474,62.29
249,138.6,5.69,31.7,1544,2309,137.69
250,167.6,4.83,51.1,819,2685,113.16
251,148.0,3.87,48.8,743,2956,99.72
252,160.4,4.57,37.7,1476,3283,139.97
