Id,MetrosCuadrados,Habitaciones,AnosAntiguedad,DistanciaCentro_KM,TieneGaraje,Precio_USD
1,149.9,2,7,14.3,0,255900.0
2,124.5,2,42,3.8,1,254200.0
3,155.9,3,19,15.7,1,312800.0
4,190.9,3,32,11.9,0,365900.0
5,120.6,1,25,19.1,0,196700.0
6,120.6,4,38,1.3,1,291700.0
7,193.2,1,20,5.7,1,381500.0
8,160.7,3,48,12.2,1,268400.0
9,111.2,3,41,6.3,0,208600.0
10,151.7,4,42,14.4,1,304900.0
11,111.5,3,40,15.3,0,205600.0
12,111.4,4,8,2.5,0,288400.0
13,139.7,2,23,10.5,1,290500.0
14,53.5,4,36,10.4,1,135100.0
15,61.0,1,48,7.7,0,80000.0
16,107.5,4,40,18.7,0,173500.0
17,89.5,3,16,16.6,0,193300.0
18,142.6,4,23,14.1,1,282700.0
19,93.7,3,20,14.4,1,223200.0
20,73.5,3,38,9.5,0,132300.0
21,188.6,3,40,18.5,0,336000.0
22,121.0,3,38,14.0,1,208100.0
23,132.7,1,12,14.7,1,268400.0
24,73.0,1,10,17.3,1,131400.0
25,108.2,2,45,5.8,0,174600.0
26,134.4,2,18,16.2,0,243600.0
27,84.0,4,10,4.3,1,253500.0
28,145.0,2,12,7.2,1,306000.0
29,106.0,5,45,7.0,0,195100.0
30,118.3,2,44,19.6,1,186100.0
31,105.9,2,0,17.2,0,204400.0
32,204.1,4,39,14.2,1,399300.0
33,129.5,3,43,14.7,0,230800.0
34,87.7,3,18,11.5,0,179500.0
35,162.9,3,11,19.0,1,349500.0
36,81.2,3,7,10.2,1,209500.0
37,138.4,2,7,7.9,1,304800.0
38,51.6,5,44,3.7,1,125500.0
39,76.9,5,11,15.8,0,169800.0
40,137.9,3,47,14.8,1,241900.0
41,159.5,2,32,8.0,0,313100.0
42,136.9,3,44,1.0,1,303900.0
43,125.4,1,25,16.9,1,205100.0
44,118.0,1,38,0.7,1,252800.0
45,70.9,2,27,14.2,0,129100.0
46,101.2,3,4,19.4,1,237400.0
47,111.6,4,7,9.0,1,289900.0
48,172.3,3,24,5.1,1,383500.0
49,143.7,3,26,14.2,0,265800.0
50,59.5,3,45,16.4,0,84500.0
51,143.0,2,22,11.2,1,307700.0
52,114.6,3,29,19.4,1,189300.0
53,102.9,5,44,1.5,0,227100.0
54,154.5,1,46,10.3,1,263000.0
55,171.2,4,22,14.5,0,335300.0
56,167.3,3,48,17.3,1,309800.0
57,96.4,3,46,4.0,0,180200.0
58,117.6,3,19,16.1,0,182600.0
59,143.3,3,17,11.3,1,299000.0
60,169.0,4,17,8.2,0,367300.0
61,110.8,4,1,3.1,1,311000.0
62,122.6,3,3,17.4,1,268700.0
63,85.7,2,29,3.6,0,176900.0
64,82.2,3,32,6.5,1,171700.0
65,162.5,4,35,6.2,1,354700.0
66,184.2,2,17,17.5,0,316600.0
67,127.1,3,36,13.6,1,277100.0
68,170.1,3,18,16.0,1,345600.0
69,144.5,3,46,5.4,1,284500.0
70,104.2,2,27,12.7,0,176700.0
71,144.5,3,39,11.6,0,258500.0
72,191.5,4,19,16.7,0,359400.0
73,128.6,2,48,18.2,1,223400.0
74,192.6,2,32,0.7,1,408300.0
75,40.0,5,11,13.6,1,122200.0
76,162.9,2,14,1.5,0,377700.0
77,133.5,4,40,11.2,0,250500.0
78,118.0,3,38,6.1,1,262900.0
79,133.7,2,1,6.5,1,304300.0
80,50.5,4,28,7.4,0,129400.0
81,121.2,3,40,12.6,1,236800.0
82,144.3,3,9,7.0,0,283300.0
83,189.1,3,1,14.8,1,427100.0
84,109.3,3,10,8.4,1,280200.0
85,97.7,2,12,1.8,0,224100.0
86,109.9,3,9,15.8,0,200700.0
87,166.6,5,13,6.1,1,396500.0
88,143.2,2,17,8.9,0,284700.0
89,108.8,3,8,13.9,1,248400.0
90,150.5,2,38,7.0,1,301200.0
91,133.9,4,27,1.6,1,327300.0
92,168.7,2,2,7.8,1,394100.0
93,101.9,5,19,18.9,1,228100.0
94,116.9,3,5,13.0,0,229000.0
95,114.3,2,26,13.6,1,243100.0
96,71.5,1,1,12.8,1,190900.0
97,141.8,2,28,4.4,1,350600.0
98,140.4,3,37,8.7,0,248000.0
99,130.2,2,2,15.1,0,259300.0
100,120.6,4,15,2.5,1,275100.0
101,73.4,3,29,5.9,0,168600.0
102,113.2,2,39,5.9,1,223700.0
103,116.3,3,1,8.9,1,311700.0
104,97.9,3,16,19.6,1,181700.0
105,123.5,2,40,1.8,1,238800.0
106,146.2,2,11,10.6,1,303100.0
107,205.4,1,34,4.0,1,375600.0
108,137.0,3,42,19.4,0,226400.0
109,140.3,3,0,2.7,1,319100.0
110,127.0,3,44,8.4,1,253200.0
111,53.2,4,14,14.9,1,108300.0
112,128.9,4,25,14.2,1,264000.0
113,132.4,3,36,8.7,0,275900.0
114,228.5,4,20,7.3,1,488600.0
115,122.3,2,48,8.3,1,216700.0
116,142.1,2,30,5.7,0,276500.0
117,128.6,2,24,4.5,1,283600.0
118,83.3,1,22,9.9,1,180100.0
119,175.7,3,23,5.7,1,357000.0
120,160.1,4,37,6.1,1,349300.0
121,161.6,1,27,13.3,1,259400.0
122,93.6,2,20,19.4,0,141800.0
123,186.1,3,42,12.3,1,343500.0
124,73.9,4,17,2.0,0,208800.0
125,153.5,2,35,2.0,1,325300.0
126,217.6,3,34,19.1,1,373800.0
127,90.4,1,44,6.3,0,137600.0
128,107.3,2,8,2.3,0,253800.0
129,134.0,5,37,12.2,1,279600.0
130,109.9,5,29,12.7,0,215400.0
131,68.0,1,43,13.1,1,101100.0
132,132.7,5,33,5.7,0,296400.0
133,87.5,3,31,0.8,0,194100.0
134,148.9,4,2,19.3,1,314200.0
135,93.2,3,2,5.4,1,283700.0
136,192.0,3,27,13.7,1,353500.0
137,98.7,3,43,14.3,0,133200.0
138,117.1,3,14,12.4,1,268200.0
139,162.5,2,40,6.6,1,309300.0
140,80.8,1,22,5.8,1,178000.0
141,139.1,2,39,12.2,1,246100.0
142,182.3,3,10,17.4,1,360500.0
143,65.7,2,47,19.0,1,112600.0
144,137.4,3,31,2.6,0,299900.0
145,140.4,5,35,3.5,1,338400.0
146,161.3,1,32,18.9,0,232600.0
147,80.5,3,23,14.9,1,151900.0
148,77.2,3,38,17.7,0,72700.0
149,150.9,4,33,4.5,1,321700.0
150,141.9,2,27,12.0,1,292500.0
151,140.0,3,36,14.2,0,253900.0
152,143.9,4,6,13.8,0,297400.0
153,102.8,4,3,8.5,0,246500.0
154,139.3,3,36,0.8,1,301400.0
155,141.7,3,0,11.9,1,323600.0
156,101.4,3,0,5.4,0,260200.0
157,204.6,4,46,9.3,1,376500.0
158,149.0,3,19,19.2,0,270100.0
159,82.3,1,18,8.3,1,195600.0
160,156.3,4,28,16.9,1,300200.0
161,91.0,3,9,4.2,0,233400.0
162,161.5,3,17,13.6,1,373000.0
163,176.3,2,27,19.6,0,293600.0
164,97.2,3,34,2.5,0,216200.0
165,168.5,3,42,0.7,0,327800.0
166,146.5,3,46,9.0,0,267000.0
167,162.9,2,30,2.3,1,354200.0
168,205.9,3,26,15.1,1,399800.0
169,120.2,5,10,18.3,1,251000.0
170,99.9,1,48,9.0,0,158800.0
171,94.4,5,48,5.5,0,219700.0
172,97.4,3,37,9.0,1,211000.0
173,126.9,4,4,14.6,1,303300.0
174,143.6,4,7,0.7,0,341300.0
175,141.1,3,33,12.0,1,290700.0
176,163.1,3,47,12.5,1,305800.0
177,130.5,4,11,12.9,1,278800.0
178,188.1,3,37,5.2,1,390200.0
179,119.4,2,0,14.4,0,225600.0
180,238.8,3,30,2.3,0,468200.0
181,155.0,4,3,4.4,1,380600.0
182,95.7,4,48,17.6,0,152300.0
183,87.2,4,44,14.9,1,148500.0
184,149.3,3,49,0.8,1,330400.0
185,121.1,4,4,5.3,0,299300.0
186,158.6,2,29,4.7,1,321600.0
187,148.9,3,23,5.8,0,284500.0
188,127.1,1,2,5.3,1,292000.0
189,96.1,2,10,1.7,1,243100.0
190,69.4,3,44,9.4,1,144400.0
191,112.1,3,3,14.8,1,246500.0
192,164.3,3,25,12.3,1,300800.0
193,138.6,3,26,13.6,1,271800.0
194,80.2,3,45,2.1,1,182400.0
195,136.9,2,42,19.1,0,215500.0
196,145.4,3,26,16.9,0,248200.0
197,94.6,2,41,16.2,0,164300.0
198,136.1,1,49,16.5,0,166600.0
199,132.3,3,5,18.7,1,293000.0
200,84.3,3,14,11.1,1,196900.0
201,144.3,3,29,4.4,1,329600.0
202,152.4,3,41,12.5,0,270200.0
203,173.3,3,36,15.0,1,342000.0
204,172.2,4,36,14.9,0,307400.0
205,74.9,3,41,10.7,1,135400.0
206,92.5,3,36,1.8,1,242900.0
207,150.6,1,34,7.7,0,269200.0
208,150.6,2,22,18.5,0,260800.0
209,150.6,3,5,11.9,0,329500.0
210,284.1,3,3,11.0,1,568000.0
211,152.8,3,17,5.7,1,351300.0
212,175.4,3,8,7.7,1,379100.0
213,168.2,3,48,18.0,0,268600.0
214,156.1,4,28,13.5,1,319000.0
215,117.4,4,12,15.9,1,234600.0
216,160.4,3,46,9.4,1,297000.0
217,99.1,5,16,12.8,0,239600.0
218,120.5,1,44,5.3,0,224900.0
219,110.6,2,31,14.3,1,206400.0
220,133.3,1,47,8.8,1,243100.0
221,222.6,3,21,9.1,0,430300.0
222,55.3,4,3,13.2,0,162900.0
223,157.5,2,4,18.8,1,307800.0
224,65.5,4,36,1.7,1,185500.0
225,111.1,1,40,16.6,1,196600.0
226,173.6,4,48,6.2,1,340200.0
227,132.6,3,12,9.2,1,322100.0
228,86.9,2,33,0.9,0,165100.0
229,101.4,3,44,6.4,1,236800.0
230,157.2,2,21,10.3,1,314000.0
231,100.8,2,22,1.6,1,240800.0
232,138.7,2,2,10.1,1,280500.0
233,131.8,4,41,18.6,0,212700.0
234,103.9,3,33,2.6,0,207900.0
235,215.8,2,31,15.4,0,369000.0
236,155.4,3,44,8.5,0,282900.0
237,49.0,3,48,13.3,0,80900.0
238,137.5,2,20,5.6,1,303900.0
239,103.5,3,45,3.6,1,229500.0
240,164.1,2,43,3.6,1,313000.0
241,98.3,2,20,1.9,1,228000.0
242,125.4,3,43,4.1,1,293000.0
243,150.2,2,10,13.5,1,297600.0
244,164.6,3,38,17.7,1,321800.0
245,82.0,3,3,16.4,0,167100.0
246,116.6,2,0,13.9,0,237100.0
247,111.0,3,27,2.7,1,279600.0
248,103.9,2,23,6.1,1,252300.0
249,200.6,5,34,6.5,1,425900.0
250,146.2,3,12,5.4,0,311300.0
251,79.6,4,46,10.5,0,144500.0
252,166.7,3,33,10.9,1,335700.0
253,214.9,1,10,7.5,0,432700.0
254,171.3,3,35,7.4,1,349100.0
255,69.2,5,16,16.7,1,179700.0
256,110.6,3,34,15.9,1,232700.0
257,180.7,4,17,6.5,1,406900.0
258,101.7,4,39,18.3,1,192000.0
259,147.8,2,21,19.1,1,248600.0
260,161.0,2,23,6.9,1,296600.0
261,92.9,3,18,7.4,1,230200.0
262,127.6,3,36,10.4,0,235000.0
263,40.0,4,38,18.9,0,44500.0
264,89.0,4,20,17.6,0,172700.0
265,119.9,3,7,2.5,1,303800.0
266,80.1,2,27,8.2,1,194000.0
267,195.3,4,4,11.3,1,428200.0
268,72.8,2,16,10.3,0,138200.0
269,112.4,4,36,4.3,0,254500.0
270,135.2,3,35,17.2,1,244700.0
271,187.7,3,18,13.7,0,365600.0
272,72.6,1,26,16.8,1,117100.0
273,176.5,3,33,17.2,1,317000.0
274,130.4,3,10,15.1,1,277700.0
275,90.7,3,44,9.1,0,163300.0
276,148.5,2,46,12.4,0,253300.0
277,138.0,3,11,3.6,0,305500.0
278,106.0,4,20,13.6,1,207000.0
279,132.8,2,10,4.0,1,303200.0
280,114.6,1,38,14.0,0,189300.0
281,134.5,1,27,5.0,1,274500.0
282,156.5,3,4,2.8,1,371200.0
283,193.4,3,16,3.7,0,420400.0
284,80.5,3,19,0.5,1,213700.0
285,215.3,2,40,14.5,1,366400.0
286,51.9,3,45,14.8,0,67800.0
287,123.9,3,11,10.5,0,252000.0
288,153.5,3,5,3.6,1,350900.0
289,141.2,5,16,2.1,1,352000.0
290,105.1,2,18,0.9,1,267100.0
291,121.7,3,25,3.7,1,282100.0
292,110.3,3,47,17.9,1,189600.0
293,106.4,3,43,5.2,1,254200.0
294,164.0,3,43,7.4,1,320800.0
295,144.3,3,31,2.6,1,324800.0
296,102.3,5,5,4.8,0,258800.0
297,166.0,2,35,10.6,1,305300.0
298,142.3,2,37,12.4,1,256700.0
299,162.5,3,10,5.3,1,362900.0
300,155.2,3,32,1.6,1,348500.0
301,96.8,2,23,8.1,0,228400.0
302,107.6,1,22,5.1,0,204100.0
303,159.9,1,14,4.8,0,316000.0
304,154.4,4,26,19.2,1,296300.0
305,129.2,2,10,12.5,1,279200.0
306,134.7,2,49,11.4,0,224400.0
307,181.1,2,16,8.6,1,395000.0
308,106.3,3,13,8.9,1,213500.0
309,151.9,1,26,11.0,1,255500.0
310,121.9,3,17,14.1,1,248300.0
311,121.3,1,27,14.2,1,238800.0
312,174.0,4,46,3.8,1,339900.0
313,163.0,2,46,10.3,0,235200.0
314,162.5,3,3,8.5,0,355800.0
315,182.2,4,6,17.5,1,382300.0
316,130.8,3,44,12.8,1,228000.0
317,157.3,3,34,10.9,1,297300.0
318,117.6,2,47,2.8,0,206800.0
319,143.0,2,8,12.3,0,283600.0
320,124.8,3,7,2.8,1,303300.0
321,133.9,5,44,7.1,0,277500.0
322,153.8,3,16,3.3,1,311000.0
323,97.3,3,16,14.0,1,199000.0
324,213.7,3,48,4.5,1,405100.0
325,89.8,3,32,8.1,1,195500.0
326,81.4,1,31,18.0,1,122300.0
327,176.3,3,7,4.5,0,394000.0
328,161.7,5,18,10.4,1,333300.0
329,155.0,2,37,8.7,1,302600.0
330,155.1,3,2,0.9,1,389800.0
331,129.5,2,4,16.0,1,296600.0
332,94.1,3,12,1.8,1,246200.0
333,133.0,1,46,9.7,1,241800.0
334,102.9,3,45,11.4,0,149400.0
335,169.0,4,30,12.8,1,306000.0
336,124.1,2,15,13.9,1,265600.0
337,97.0,3,49,5.4,1,201700.0
338,117.1,4,31,0.7,1,304700.0
339,146.5,4,21,14.6,0,264100.0
340,107.5,2,28,10.9,1,224900.0
341,97.1,3,21,16.8,1,223700.0
342,139.7,2,42,16.5,1,246600.0
343,139.8,5,2,16.9,1,321200.0
344,109.7,4,9,10.0,0,247300.0
345,111.2,3,41,7.0,0,188500.0
346,139.3,4,20,15.9,1,308400.0
347,72.1,3,15,9.3,0,153700.0
348,73.7,3,11,4.1,1,216400.0
349,101.3,1,1,17.2,0,162600.0
350,121.5,4,40,17.7,0,187100.0
351,142.4,2,23,9.6,1,313800.0
352,189.0,4,34,2.0,1,406600.0
353,164.3,4,29,8.1,1,372600.0
354,123.6,3,29,16.2,1,236000.0
355,129.2,1,46,18.1,0,152800.0
356,89.9,2,34,4.5,1,213100.0
357,129.3,2,18,1.8,1,292500.0
358,118.5,3,49,17.6,0,189300.0
359,142.9,1,7,8.1,1,308000.0
360,96.9,4,25,11.1,1,197300.0
361,150.8,3,48,19.4,1,255900.0
362,191.3,2,39,1.8,0,403700.0
363,125.6,3,6,13.1,0,266700.0
364,146.1,3,29,1.9,0,308000.0
365,157.6,3,6,7.8,1,373200.0
366,114.0,3,2,16.2,1,255000.0
367,139.0,4,0,9.0,0,318800.0
368,130.5,3,35,19.9,1,213400.0
369,133.9,5,24,11.4,1,302500.0
370,99.1,4,36,6.8,1,241900.0
371,131.0,2,0,4.8,1,303000.0
372,149.9,4,14,7.3,0,346300.0
373,188.0,2,36,7.8,1,365900.0
374,168.4,4,12,1.8,1,387500.0
375,216.1,3,39,7.7,1,441000.0
376,99.3,4,7,9.6,1,247400.0
377,164.9,4,4,14.6,0,350600.0
378,137.3,4,8,13.3,1,303500.0
379,217.6,4,0,14.3,0,441600.0
380,97.7,2,35,0.7,1,233700.0
381,96.4,1,34,4.7,1,205500.0
382,106.0,3,1,13.4,0,198100.0
383,45.0,2,39,9.9,1,75000.0
384,109.0,3,22,0.6,0,267100.0
385,99.6,2,8,16.2,1,206000.0
386,136.0,5,33,15.6,1,269500.0
387,143.7,3,45,11.2,1,252300.0
388,205.0,4,13,1.8,1,451200.0
389,168.0,2,3,15.4,1,313000.0
390,106.9,4,29,11.9,1,229800.0
391,94.1,4,30,15.7,1,184200.0
392,149.7,3,37,15.2,1,264800.0
393,77.2,3,10,16.2,0,153100.0
394,203.3,4,34,10.6,1,413700.0
395,177.2,2,7,3.2,0,409600.0
396,111.2,3,2,13.6,1,233000.0
397,61.5,3,13,12.6,0,151500.0
398,184.2,2,12,15.0,0,358500.0
399,125.4,3,44,3.8,1,254200.0
400,179.5,1,31,4.3,1,362900.0
401,66.2,1,33,17.9,1,93400.0
402,106.0,2,44,15.1,0,163200.0
403,130.2,5,18,18.2,1,298200.0
404,131.9,3,37,15.3,1,255100.0
405,112.0,5,15,12.1,1,274500.0
406,154.9,3,1,13.3,0,312400.0
407,87.3,2,39,17.8,1,120100.0
408,124.3,3,16,11.8,0,246300.0
409,134.8,3,33,12.8,1,283100.0
410,150.6,2,41,3.6,1,283900.0
411,158.5,3,15,9.7,1,325400.0
412,85.0,2,37,14.5,1,154000.0
413,68.6,3,1,5.8,1,190600.0
414,181.1,3,1,4.4,1,406500.0
415,143.3,2,25,6.6,1,295700.0
416,100.1,1,12,5.2,1,212100.0
417,192.0,4,46,4.7,1,378900.0
418,134.6,3,30,8.8,1,292800.0
419,177.2,1,33,18.2,1,284900.0
420,132.7,5,38,10.4,1,259500.0
421,212.4,1,2,4.2,1,446400.0
422,200.2,3,7,2.0,1,465900.0
423,120.0,5,22,14.1,0,243300.0
424,168.9,2,13,8.0,1,351900.0
425,155.8,2,26,16.5,1,289900.0
426,184.7,2,28,13.4,0,305000.0
427,91.4,2,38,16.0,0,144900.0
428,157.4,2,38,5.8,1,321000.0
429,172.3,3,0,14.0,1,363600.0
430,59.7,1,16,5.6,1,166700.0
431,82.7,3,40,18.8,0,102300.0
