ID_Lectura,Temperatura_Zona1_C,Velocidad_Cinta_m_min,Horas_Desde_Mantenimiento,Humedad_Ambiente_Pct,Espesor_Material_mm,Consumo_Energia_KWh
1,774.8,1.3,332,67.3,3.35,529.6
2,743.1,0.76,190,37.3,6.99,546.24
3,782.4,0.68,460,74.7,4.43,581.63
4,826.2,0.74,356,37.6,4.61,561.66
5,738.3,1.96,203,39.6,5.74,525.65
6,738.3,0.63,201,35.3,4.83,505.96
7,829.0,1.34,76,45.5,4.58,528.48
8,788.4,2.38,218,57.6,3.66,515.78
9,726.5,1.24,375,79.4,5.1,535.73
10,777.1,2.41,176,69.7,4.45,506.66
11,726.8,2.36,255,49.0,7.08,514.83
12,726.7,1.11,254,58.8,4.79,526.51
13,762.1,2.32,175,61.2,2.73,506.88
14,654.3,2.37,305,71.1,5.95,486.87
15,663.8,1.49,412,66.8,4.0,490.21
16,721.9,1.03,220,58.5,5.11,514.92
17,699.4,1.8,142,63.5,6.4,514.79
18,765.7,2.8,206,67.3,4.69,512.1
19,704.6,2.1,407,36.7,4.8,517.78
20,679.4,0.93,356,40.0,5.93,523.21
21,823.3,2.21,58,64.4,6.43,544.46
22,738.7,1.57,73,72.5,4.86,497.53
23,753.4,1.98,121,50.5,7.02,530.55
24,678.8,2.34,365,79.0,3.26,453.31
25,722.8,1.79,194,40.8,4.1,492.43
26,755.5,2.53,113,50.8,4.52,491.49
27,692.5,2.31,428,48.9,6.06,503.39
28,768.8,2.04,222,76.5,5.23,529.03
29,720.0,0.88,14,44.3,4.32,486.22
30,735.4,2.59,128,53.5,3.87,456.39
31,719.9,2.84,353,39.4,3.51,487.05
32,842.6,0.84,258,56.1,5.52,591.47
33,749.3,1.72,176,72.9,4.61,526.74
34,697.1,1.15,392,45.2,6.01,532.15
35,791.1,2.39,251,70.5,3.57,517.42
36,689.0,2.3,289,75.6,5.43,505.06
37,760.4,0.85,433,33.6,4.96,543.58
38,652.0,2.69,372,67.8,4.39,479.92
39,683.6,0.95,247,42.8,4.46,491.28
40,759.8,2.49,315,38.8,5.1,527.33
41,786.9,1.64,214,60.1,4.97,527.82
42,758.6,1.32,495,65.3,4.11,569.53
43,744.2,0.9,323,49.7,5.52,551.75
