ID_Lectura,Temperatura_Zona1_C,Velocidad_Cinta_m_min,Horas_Desde_Mantenimiento,Humedad_Ambiente_Pct,Espesor_Material_mm,Consumo_Energia_KWh
1,774.8,1.54,235,34.7,5.36,543.16
2,743.1,1.06,286,58.9,5.58,538.09
3,782.4,0.8,295,31.8,4.37,537.44
4,826.2,1.34,106,53.3,5.88,531.72
5,738.3,2.86,293,57.1,5.55,492.26
6,738.3,1.31,376,44.3,4.29,530.6
7,829.0,1.8,457,59.5,3.21,573.65
8,788.4,2.26,490,31.5,3.78,555.1
9,726.5,1.41,462,31.9,4.33,517.72
10,777.1,2.93,326,71.1,6.16,531.96
11,726.8,2.91,313,48.0,6.55,511.07
12,726.7,1.13,156,36.4,4.56,517.12
13,762.1,1.74,13,56.1,4.59,492.59
14,654.3,1.25,44,68.5,5.26,478.31
15,663.8,1.21,201,40.8,5.01,479.16
16,721.9,0.59,58,61.1,5.93,520.18
17,699.4,2.02,26,34.3,4.48,464.47
18,765.7,1.76,181,32.6,5.95,520.27
19,704.6,0.63,229,56.6,4.76,499.51
20,679.4,1.2,167,57.0,5.85,489.05
21,823.3,2.77,486,61.9,4.73,577.83
22,738.7,1.1,55,66.3,4.39,505.18
23,753.4,0.86,382,78.8,6.91,566.07
24,678.8,1.72,15,55.8,6.07,463.58
25,722.8,2.96,108,46.1,3.21,435.32
26,755.5,1.11,389,69.8,4.55,560.57
27,692.5,2.18,242,43.5,6.2,500.4
28,768.8,2.4,46,51.9,3.8,479.38
29,720.0,1.09,289,33.9,5.77,521.85
30,735.4,2.32,358,31.3,5.67,493.4
31,719.9,1.42,311,78.1,4.3,511.18
32,842.6,2.08,190,71.8,4.99,564.48
33,749.3,2.08,104,64.8,2.91,489.22
34,697.1,1.84,108,50.4,6.77,492.51
35,791.1,0.73,197,38.7,4.69,538.08
36,689.0,2.59,490,37.8,5.8,516.71
37,760.4,1.3,125,42.5,5.61,513.18
38,652.0,0.97,200,57.5,6.36,474.64
39,683.6,0.6,262,65.7,4.57,505.27
40,759.8,1.98,478,63.0,5.2,553.55
41,786.9,2.19,425,44.0,5.56,561.74
42,758.6,0.54,480,77.7,5.87,565.78
43,744.2,1.78,170,66.9,6.15,516.36
44,734.9,1.07,265,57.7,4.52,518.55
45,676.1,2.11,332,60.6,4.34,473.46
46,714.0,0.94,137,51.0,6.36,515.33
47,727.0,2.23,27,42.4,2.96,460.17
48,802.9,1.47,290,47.8,6.57,558.94
49,767.2,2.84,499,67.9,4.7,560.0
50,661.8,0.84,232,30.7,5.0,480.03
51,766.2,1.35,63,35.8,4.32,493.3
52,730.7,0.78,67,32.3,4.95,490.55
53,716.2,2.81,332,32.0,6.27,493.12
54,780.6,2.69,369,72.8,5.77,536.85
55,801.5,1.14,183,65.2,5.49,534.16
56,796.6,2.15,289,53.7,5.09,535.67
57,708.0,2.54,123,34.9,3.55,454.73
58,734.5,1.89,297,54.6,4.16,484.0
59,766.6,1.82,440,53.7,4.66,542.49
60,798.8,1.1,351,38.7,5.46,561.59
61,726.0,0.73,160,51.7,5.07,516.12
62,740.7,2.74,459,49.9,5.98,542.65
63,694.7,2.75,136,60.8,5.47,477.89
64,690.2,2.08,164,61.8,5.05,471.24
65,790.6,1.35,499,32.3,7.28,577.99
66,817.8,1.37,395,48.7,5.41,578.82
67,746.4,2.31,483,61.3,4.57,527.89
68,800.2,2.74,282,55.2,6.86,532.66
69,768.1,2.72,113,72.8,6.2,533.05
70,717.7,2.45,426,62.9,6.82,527.92
71,768.1,2.11,402,38.1,4.89,527.06
72,826.9,0.71,308,33.5,5.98,555.7
73,748.2,0.9,255,62.1,3.55,528.0
74,828.2,2.75,185,31.3,5.78,520.72
75,619.0,2.02,48,59.3,4.84,430.26
76,791.1,0.52,486,77.0,3.64,586.39
77,754.4,0.75,179,58.8,6.03,525.94
78,735.0,2.16,256,49.4,3.19,489.33
79,754.6,0.51,35,62.2,3.09,513.17
80,650.6,0.9,364,52.9,5.36,477.17
81,739.0,1.87,315,57.3,5.57,515.86
82,767.9,2.23,418,77.1,5.97,543.24
83,823.9,2.13,417,49.3,5.74,568.09
84,724.1,1.06,22,78.1,6.48,506.71
85,709.6,2.28,325,75.3,5.7,500.78
86,724.9,1.09,400,39.8,4.87,522.66
87,795.8,1.31,322,33.5,4.93,539.65
88,766.4,2.37,45,35.0,4.72,480.09
89,723.5,2.12,182,30.9,5.3,490.57
90,775.7,2.62,29,34.7,3.9,484.18
91,754.9,2.14,330,64.2,5.34,539.2
92,798.4,1.92,273,33.6,4.91,539.91
93,714.9,0.73,409,45.9,5.28,527.45
94,733.6,1.42,151,72.2,5.28,509.84
95,730.4,1.16,469,31.2,2.55,540.78
96,676.8,1.11,380,70.7,4.1,516.18
97,764.8,2.93,480,44.1,4.89,525.99
98,763.1,1.48,152,35.9,4.94,526.22
99,750.3,2.73,101,64.8,5.26,485.83
100,738.3,2.08,363,61.4,5.3,518.31
