ID_Orden,Unidades_Ordenadas,Num_Componentes_BOM,Experiencia_Operador_Anos,Nivel_Complejidad,Mantenimiento_Programado_Turno,Tiempo_Ciclo_Minutos
1,913,7,5.4,1,1,199.12
2,573,23,9.0,3,0,197.17
3,387,33,12.8,3,0,182.42
4,888,16,12.7,4,0,242.82
5,625,15,10.2,3,1,189.54
6,649,35,4.9,2,0,229.54
7,125,40,12.1,3,0,155.56
8,443,33,2.6,2,0,194.74
9,602,8,13.8,2,0,140.09
10,694,24,11.8,1,0,192.64
11,625,25,10.9,5,0,238.72
12,986,19,12.6,1,0,244.01
13,807,10,3.4,2,0,210.18
14,366,10,9.1,4,1,150.07
15,782,11,10.2,3,0,201.13
16,754,29,5.2,2,1,239.77
17,160,44,7.9,5,0,201.54
18,55,42,3.7,2,0,145.13
19,958,12,4.4,4,0,258.62
20,527,42,13.2,2,1,221.32
21,90,9,1.8,4,0,100.51
22,99,28,3.8,3,1,138.81
23,901,40,1.1,3,0,312.34
24,673,20,8.9,4,1,234.32
25,556,39,10.1,4,0,245.95
26,186,8,7.9,2,1,89.48
27,421,23,11.9,4,0,171.56
28,975,18,13.9,2,0,244.58
29,933,8,0.6,2,1,236.98
30,109,42,4.9,2,0,150.21
31,468,34,9.2,5,1,240.04
32,606,27,4.1,4,0,231.71
33,890,26,5.0,3,0,264.61
34,299,26,11.2,5,0,177.65
35,325,22,5.6,3,1,157.4
36,688,28,2.2,4,0,251.02
37,956,35,9.5,4,0,312.59
38,126,41,5.1,3,1,166.82
39,785,12,9.8,4,0,208.65
40,669,25,2.0,2,0,216.76
41,393,32,10.7,2,0,171.67
42,946,16,14.4,1,0,216.71
43,155,10,9.3,5,0,113.42
44,553,27,3.9,2,1,215.3
45,507,30,5.2,2,0,187.85
46,289,23,6.7,4,0,159.32
47,314,18,10.3,5,1,163.13
48,624,43,6.9,1,0,231.89
49,726,8,6.4,1,0,168.44
50,149,19,1.0,1,1,102.99
51,334,28,2.3,2,1,167.71
52,881,18,3.8,3,1,262.34
53,569,29,6.3,3,1,221.9
54,956,25,3.2,2,0,267.74
55,486,5,6.0,5,1,169.08
56,490,34,14.6,2,0,185.15
57,665,16,10.5,3,0,191.3
58,344,32,11.7,2,0,166.65
59,800,38,14.2,4,0,271.67
60,379,29,12.3,2,1,169.7
61,486,41,7.5,5,0,257.3
62,452,43,7.2,3,0,223.24
63,553,14,8.0,3,0,173.35
64,377,8,10.9,3,0,123.42
65,665,6,13.5,4,0,173.13
66,961,20,6.6,1,0,228.76
67,350,9,4.7,4,0,142.69
68,562,9,3.2,2,0,161.86
69,678,41,14.7,3,0,249.26
70,412,23,1.0,4,1,205.05
71,190,19,1.4,4,1,156.93
72,323,33,7.7,5,0,202.43
73,810,22,3.6,2,1,247.83
74,253,28,11.5,1,0,118.96
75,513,21,11.0,2,1,168.69
76,915,11,3.9,5,0,263.76
77,714,12,6.7,3,0,198.6
78,726,25,5.8,3,0,234.09
79,942,15,7.1,1,0,221.82
80,753,37,1.0,3,0,274.36
81,325,44,9.5,3,0,201.74
82,548,28,13.2,3,0,197.91
83,469,27,1.9,4,0,205.09
84,592,26,4.2,3,0,208.19
85,60,31,10.6,4,0,134.08
86,549,17,5.5,3,0,186.79
87,665,7,13.1,2,0,161.75
88,326,22,14.4,3,0,132.73
89,973,6,2.3,4,0,251.47
90,826,30,11.5,5,0,282.73
91,904,7,3.0,5,0,250.46
92,428,21,11.6,5,0,183.73
93,844,7,9.2,3,1,213.73
94,549,29,1.6,3,0,215.73
95,905,20,14.6,4,0,256.52
96,736,34,10.8,4,0,256.46
97,97,11,2.1,4,0,99.81
98,791,33,6.4,1,0,237.13
99,264,27,0.5,3,0,160.76
100,187,25,9.6,3,1,136.09
