ID_Registro,Demanda_Historica_MesAnterior,Precio_Materia_Prima_USD,Capacidad_Almacen_Pct,Indice_Estacionalidad,Ordenes_Pendientes_Clientes,Demanda_Estimada_Unidades
1,441.0,17.31,40.1,1.0,115,710.0
2,431.0,30.73,35.3,1.43,132,814.0
3,426.0,22.77,61.6,1.48,33,532.0
4,519.0,37.39,49.7,0.92,128,752.0
5,453.0,17.85,31.5,1.33,109,756.0
6,554.0,41.58,82.5,1.41,61,645.0
7,502.0,26.72,43.7,0.95,84,653.0
8,518.0,15.48,89.7,0.93,58,630.0
9,433.0,32.67,52.4,1.46,147,861.0
10,490.0,29.92,87.8,0.85,140,817.0
11,584.0,38.56,22.4,0.88,95,711.0
12,486.0,42.61,80.7,1.33,102,683.0
13,622.0,28.29,89.8,1.44,38,667.0
14,456.0,30.68,93.1,1.25,135,778.0
15,534.0,24.25,83.5,0.88,75,656.0
16,474.0,26.19,35.7,1.35,87,685.0
17,391.0,35.9,56.2,1.09,122,695.0
18,519.0,44.64,79.8,0.96,132,776.0
19,624.0,19.03,53.7,1.37,10,587.0
20,467.0,15.79,77.5,1.42,74,687.0
21,357.0,18.44,91.0,1.1,84,573.0
22,477.0,29.66,80.7,1.2,50,570.0
23,474.0,30.91,88.4,1.19,66,624.0
24,565.0,38.99,67.7,1.27,49,605.0
25,410.0,26.44,79.2,0.86,43,470.0
26,469.0,23.95,59.9,0.97,105,695.0
27,494.0,26.06,47.0,1.32,128,812.0
28,485.0,20.07,30.5,1.27,32,554.0
29,506.0,43.16,55.1,0.96,28,467.0
30,425.0,18.22,33.2,1.5,117,754.0
31,442.0,44.95,26.9,1.43,93,693.0
32,488.0,33.26,37.4,0.84,61,557.0
33,673.0,23.75,79.5,1.38,58,758.0
34,496.0,32.96,42.8,0.94,35,511.0
35,406.0,33.26,80.4,1.26,22,449.0
36,455.0,25.76,83.9,1.35,87,669.0
37,549.0,17.83,85.1,1.08,122,821.0
38,589.0,18.28,66.1,1.08,106,826.0
39,509.0,34.88,68.9,0.94,117,734.0
40,571.0,19.97,86.4,1.45,114,862.0
41,429.0,43.82,94.2,1.05,121,685.0
42,399.0,42.7,67.9,1.23,101,648.0
43,551.0,40.7,47.9,1.49,24,528.0
44,470.0,43.03,65.1,1.0,130,753.0
45,480.0,36.85,22.8,1.28,15,479.0
46,491.0,34.05,60.9,1.13,19,445.0
47,457.0,34.73,62.8,1.33,27,500.0
48,428.0,37.82,50.9,0.8,120,661.0
49,484.0,35.84,28.7,1.39,36,564.0
50,523.0,40.9,32.6,1.01,14,445.0
51,491.0,44.85,62.5,1.13,144,810.0
52,402.0,34.61,55.6,1.19,55,524.0
53,523.0,43.29,62.9,1.05,104,712.0
54,535.0,23.16,74.3,1.4,93,789.0
55,548.0,26.62,55.4,0.96,84,684.0
56,550.0,43.45,88.6,1.31,118,811.0
57,665.0,34.15,34.8,1.03,108,825.0
58,414.0,42.76,62.4,1.4,95,638.0
59,477.0,29.09,84.7,1.19,89,707.0
60,590.0,25.39,80.6,1.41,88,761.0
61,493.0,16.34,44.9,0.92,80,646.0
62,394.0,18.31,88.7,1.35,29,486.0
63,537.0,19.55,88.5,1.38,118,839.0
64,608.0,16.59,44.1,1.16,111,840.0
65,389.0,22.23,53.9,0.91,16,413.0
66,441.0,42.76,68.6,0.98,104,661.0
67,446.0,23.09,92.7,1.24,139,796.0
68,365.0,23.15,86.5,1.4,29,484.0
69,487.0,28.67,56.7,1.44,84,691.0
70,584.0,29.36,42.5,1.44,62,674.0
71,496.0,32.06,58.5,1.35,21,487.0
72,596.0,32.57,71.4,0.82,113,788.0
73,508.0,25.94,47.5,0.82,70,616.0
74,495.0,16.49,23.1,0.99,128,791.0
75,545.0,20.84,64.2,0.96,47,588.0
76,472.0,38.59,92.9,1.08,77,608.0
77,315.0,44.96,61.2,1.2,69,472.0
78,576.0,21.57,81.5,1.17,90,746.0
79,672.0,37.45,57.8,1.13,43,634.0
80,680.0,20.02,73.4,1.38,28,678.0
81,774.0,19.48,76.3,0.87,34,700.0
82,476.0,42.39,75.8,1.38,119,760.0
83,564.0,30.06,66.7,0.98,31,546.0
84,423.0,22.9,52.5,0.81,69,532.0
85,454.0,31.12,79.2,1.45,22,485.0
86,448.0,41.03,35.5,1.33,13,422.0
87,578.0,35.62,85.0,0.94,92,690.0
88,488.0,37.33,48.8,1.12,149,819.0
89,401.0,16.06,51.2,1.05,42,500.0
90,440.0,20.59,24.4,1.32,12,469.0
91,360.0,36.36,52.1,0.89,48,454.0
92,383.0,17.63,35.8,1.43,149,799.0
93,594.0,22.23,93.7,1.37,65,705.0
94,454.0,18.81,69.3,1.43,117,791.0
95,459.0,28.6,57.5,1.23,99,679.0
96,602.0,27.18,56.7,1.39,71,743.0
97,535.0,22.6,20.4,1.23,22,563.0
98,462.0,16.19,28.7,0.81,71,618.0
99,328.0,26.25,73.6,1.38,134,739.0
100,467.0,24.85,64.3,1.49,105,740.0
101,393.0,35.25,69.8,0.94,89,578.0
102,521.0,40.0,35.5,1.22,44,550.0
103,451.0,25.46,68.1,1.25,53,568.0
104,515.0,44.75,28.8,1.32,105,734.0
105,432.0,44.59,77.0,1.18,115,675.0
106,412.0,43.67,32.0,1.47,16,433.0
107,498.0,31.49,85.9,0.97,21,476.0
108,459.0,40.21,91.2,1.18,111,696.0
109,404.0,20.44,75.4,1.19,20,455.0
110,568.0,25.12,49.2,1.47,122,860.0
111,578.0,29.11,47.9,0.97,86,729.0
112,497.0,32.8,48.6,1.26,129,801.0
113,459.0,41.83,49.5,1.33,21,451.0
114,420.0,41.85,58.1,1.16,67,542.0
115,503.0,18.89,21.3,1.29,119,819.0
116,487.0,36.5,85.2,1.37,42,547.0
117,629.0,15.24,73.4,0.84,65,694.0
118,561.0,31.39,25.0,1.21,146,884.0
119,372.0,37.49,22.2,1.02,17,370.0
120,425.0,15.04,81.8,0.89,142,794.0
121,542.0,31.45,69.1,1.05,97,727.0
122,393.0,40.82,67.5,1.19,108,639.0
123,606.0,30.5,66.1,1.11,45,644.0
124,419.0,39.57,46.6,1.49,58,561.0
125,351.0,30.35,39.4,0.81,110,624.0
126,566.0,16.35,56.5,1.45,46,663.0
127,524.0,42.79,90.8,0.95,12,434.0
128,599.0,41.25,87.4,1.15,79,693.0
129,519.0,35.88,24.8,1.12,126,775.0
130,405.0,30.12,71.4,1.1,61,525.0
131,451.0,32.75,88.3,1.11,42,511.0
132,484.0,20.59,68.1,1.2,34,576.0
133,527.0,39.2,64.2,0.96,76,608.0
134,484.0,40.51,41.4,0.94,74,576.0
135,513.0,27.1,40.2,1.42,148,892.0
136,614.0,27.67,56.7,0.91,30,577.0
137,639.0,26.46,67.5,1.06,10,533.0
138,393.0,31.28,55.2,0.86,148,761.0
139,570.0,17.36,42.0,1.4,123,876.0
140,447.0,17.89,76.8,0.95,79,614.0
141,645.0,21.53,33.7,1.22,131,909.0
142,482.0,30.0,80.0,1.38,85,689.0
