ID_Registro,Demanda_Historica_MesAnterior,Precio_Materia_Prima_USD,Capacidad_Almacen_Pct,Indice_Estacionalidad,Ordenes_Pendientes_Clientes,Demanda_Estimada_Unidades
1,441.0,43.91,74.2,0.84,111,641.0
2,431.0,40.96,78.4,1.49,64,587.0
3,426.0,31.77,53.9,0.9,78,585.0
4,519.0,20.77,37.8,1.41,95,746.0
5,453.0,33.84,85.9,1.47,10,477.0
6,554.0,17.02,56.8,0.81,81,697.0
7,502.0,42.75,70.1,0.85,72,577.0
8,518.0,16.18,71.4,1.03,117,781.0
9,433.0,22.69,42.4,1.18,23,466.0
10,490.0,24.38,48.3,0.99,33,547.0
11,584.0,15.53,22.7,1.08,119,838.0
12,486.0,18.44,43.3,1.4,108,783.0
13,622.0,15.98,41.5,1.21,12,584.0
14,456.0,29.27,46.9,0.97,107,694.0
15,534.0,35.07,81.7,1.11,124,809.0
16,474.0,22.87,80.0,1.04,130,791.0
17,391.0,29.57,21.1,1.44,125,748.0
18,519.0,41.81,80.1,1.44,68,659.0
19,624.0,20.28,42.1,0.83,122,831.0
20,467.0,24.98,43.3,1.11,14,457.0
21,357.0,41.52,76.0,1.19,24,406.0
22,477.0,16.57,38.7,0.98,74,643.0
23,474.0,15.4,83.0,0.83,140,787.0
24,565.0,32.96,29.9,1.28,136,870.0
25,410.0,18.53,60.6,1.08,61,574.0
26,469.0,40.94,46.4,1.37,42,515.0
27,494.0,32.91,78.2,1.42,31,544.0
28,485.0,36.11,77.9,0.84,111,718.0
29,506.0,26.77,80.1,1.04,138,811.0
30,425.0,24.49,76.9,1.18,76,633.0
31,442.0,21.63,31.3,0.81,52,507.0
32,488.0,33.28,42.8,0.94,18,460.0
33,673.0,25.47,53.0,0.92,139,928.0
34,496.0,35.97,44.1,1.28,69,642.0
35,406.0,32.17,81.8,0.97,117,694.0
36,455.0,25.13,85.7,1.28,146,846.0
37,549.0,39.71,49.0,1.12,32,539.0
38,589.0,32.36,87.6,1.43,126,860.0
39,509.0,19.82,83.2,1.29,91,722.0
40,571.0,32.0,69.2,1.24,144,906.0
41,429.0,20.1,21.5,0.91,55,553.0
42,399.0,15.18,64.5,1.24,40,533.0
43,551.0,25.72,22.3,1.47,70,723.0
44,470.0,17.15,88.6,1.48,18,521.0
45,480.0,22.69,47.9,0.91,103,741.0
46,491.0,42.46,43.5,1.27,149,827.0
47,457.0,38.9,62.8,0.88,10,378.0
48,428.0,30.98,85.9,1.26,31,489.0
49,484.0,27.26,59.3,1.45,85,705.0
50,523.0,33.55,40.1,1.39,44,571.0
51,491.0,44.71,78.4,1.01,116,716.0
52,402.0,26.24,39.7,0.98,118,692.0
53,523.0,23.26,53.7,1.06,62,629.0
54,535.0,38.85,23.4,1.47,40,574.0
55,548.0,29.21,67.2,0.95,125,816.0
56,550.0,36.45,74.7,1.37,75,700.0
57,665.0,39.62,76.8,1.06,126,872.0
58,414.0,42.98,61.5,1.24,75,580.0
59,477.0,33.89,45.5,0.81,137,761.0
60,590.0,20.55,75.8,0.95,93,749.0
61,493.0,41.54,25.6,0.9,23,446.0
62,394.0,34.55,90.0,1.13,97,623.0
63,537.0,41.77,93.0,0.81,113,709.0
64,608.0,37.36,49.9,1.03,57,648.0
65,389.0,40.85,52.6,1.35,70,608.0
66,441.0,21.41,82.7,1.19,45,545.0
67,446.0,22.57,64.4,1.42,146,831.0
68,365.0,25.98,39.6,1.2,146,760.0
69,487.0,23.88,78.4,1.45,33,576.0
70,584.0,26.97,54.1,0.97,36,569.0
71,496.0,18.17,59.7,1.24,10,506.0
72,596.0,35.69,55.1,1.46,78,768.0
73,508.0,39.15,46.5,1.2,79,666.0
74,495.0,42.83,53.9,1.42,64,625.0
75,545.0,19.5,90.5,0.84,62,633.0
76,472.0,20.58,92.5,0.81,103,693.0
77,315.0,23.53,86.8,0.81,110,590.0
78,576.0,34.13,60.2,1.17,102,779.0
79,672.0,38.12,85.5,0.96,97,783.0
80,680.0,41.49,50.6,1.23,34,669.0
81,774.0,40.55,63.9,1.07,133,938.0
82,476.0,24.38,94.5,1.19,91,684.0
83,564.0,30.91,93.8,1.46,114,865.0
84,423.0,18.47,43.1,1.09,64,601.0
85,454.0,23.23,79.5,1.27,14,469.0
86,448.0,35.08,48.3,0.87,49,472.0
87,578.0,25.14,20.6,1.42,72,726.0
88,488.0,22.81,84.2,1.48,117,824.0
89,401.0,20.87,85.7,0.97,130,754.0
90,440.0,20.61,36.5,0.92,144,807.0
91,360.0,17.91,62.1,1.26,119,719.0
92,383.0,27.03,74.0,1.35,101,672.0
93,594.0,22.57,92.8,0.94,31,582.0
94,454.0,24.78,38.6,1.0,129,757.0
95,459.0,19.57,30.4,0.94,70,594.0
96,602.0,22.51,40.2,1.31,118,878.0
97,535.0,44.54,33.1,1.21,79,657.0
98,462.0,34.04,68.1,1.48,120,786.0
99,328.0,17.18,82.8,1.36,84,618.0
100,467.0,18.19,22.4,0.96,103,738.0
