ID_Proceso,Presion_Hidraulica_Bar,Vibracion_Husillo_mm_s,Temperatura_Refrigerante_C,Piezas_Procesadas_Herramienta,Velocidad_Corte_RPM,Desgaste_Herramienta_Micras
1,137.4,4.29,56.7,1034,1437,112.2
2,164.4,4.77,39.7,1375,2604,128.26
3,170.1,0.87,44.2,161,1684,40.05
4,153.3,1.49,55.6,786,1683,78.9
5,133.9,4.17,45.5,543,2374,96.42
6,180.1,1.69,33.4,411,2487,52.41
7,142.5,5.98,28.7,330,1339,84.5
8,133.2,2.9,45.0,1586,3406,133.71
9,160.2,2.87,42.0,787,2735,88.71
10,125.5,1.56,41.2,804,3310,90.26
11,136.1,5.92,46.8,1335,2674,147.04
12,156.1,3.62,26.8,443,2398,74.84
13,151.8,5.62,38.0,851,1407,106.72
14,136.4,1.9,45.1,458,1901,63.59
15,133.2,0.72,39.8,775,3177,80.94
16,160.2,2.3,37.3,477,3231,78.49
17,153.9,5.36,34.0,1917,2018,157.56
18,174.9,4.27,38.7,1965,1684,143.61
19,152.2,1.74,41.3,810,1619,83.78
20,146.5,2.86,50.5,513,3222,86.76
21,150.6,4.8,40.4,1865,2705,159.17
22,142.7,1.51,32.3,613,2211,63.66
23,155.1,2.23,69.3,229,3390,76.24
24,111.5,4.01,45.5,1823,3456,152.17
25,166.3,3.72,31.9,1207,2870,107.48
26,131.5,5.49,42.5,1579,2298,149.11
27,127.6,0.81,38.1,1872,1214,122.07
28,150.5,2.33,50.2,518,3418,84.97
29,147.9,5.32,46.7,1363,3379,151.34
30,138.8,1.04,39.3,1015,1725,84.39
31,132.3,1.79,37.2,1040,3463,100.31
32,141.5,4.51,41.3,370,2919,94.35
33,166.4,0.98,43.9,944,3329,90.21
34,134.7,4.74,45.1,1054,2792,115.41
35,164.4,2.87,44.7,430,2607,84.3
36,158.2,5.79,57.0,629,2017,108.18
37,161.8,4.66,40.7,1869,2723,151.39
38,141.6,1.97,35.6,663,1965,70.74
39,142.8,3.23,41.6,1692,2716,135.92
40,153.7,5.39,25.0,1435,2775,132.2
41,135.8,2.22,49.7,135,1552,55.37
42,159.6,0.76,43.1,1173,2329,94.23
43,141.4,4.52,57.3,1441,2350,145.25
44,159.8,3.8,48.2,726,2875,100.97
45,129.9,0.86,48.2,1548,1312,102.53
46,164.5,1.95,44.5,1936,2184,131.49
47,157.3,1.02,57.5,820,1304,75.22
48,142.6,2.11,54.8,802,2986,97.64
49,145.2,3.18,41.5,1814,2310,131.03
50,151.9,0.54,48.2,628,2514,70.39
51,153.6,3.66,49.9,101,1346,57.76
52,161.8,2.7,40.3,590,1839,75.71
53,150.4,3.61,48.6,164,3453,73.69
54,170.8,1.24,44.6,1212,3262,109.65
55,141.9,1.61,49.1,1163,3147,107.59
56,181.6,2.83,45.0,493,1385,64.6
57,143.4,2.14,36.2,1254,2338,102.9
58,129.0,4.08,38.5,1092,2261,110.82
59,164.7,0.56,36.3,584,1767,51.3
60,164.5,3.53,52.4,893,2960,109.08
61,163.5,2.29,38.9,755,2181,82.94
62,167.0,2.48,54.4,1566,2742,122.77
63,139.0,1.31,43.9,329,3445,63.68
64,143.5,5.46,50.6,1454,2876,151.45
65,156.6,4.26,41.8,1415,2994,133.05
66,154.7,5.72,47.3,1569,2856,149.59
67,149.4,2.08,52.1,1395,2233,112.68
68,167.4,4.12,56.1,1195,3252,125.23
69,150.1,1.28,36.3,598,2841,71.92
70,143.7,1.06,31.5,940,1335,71.85
71,144.5,1.87,52.5,662,2408,85.17
72,147.6,2.9,42.8,1697,1401,125.11
73,165.3,1.63,40.3,250,2584,57.13
74,138.2,2.44,46.8,998,3188,108.6
75,179.2,3.95,52.2,888,2848,104.27
76,149.6,4.9,35.4,980,2787,109.78
77,149.7,3.28,53.5,1252,2451,116.41
78,193.6,5.75,38.7,1956,1972,164.24
79,138.2,3.12,49.6,770,3144,97.9
80,148.5,5.56,50.6,1731,2643,152.96
81,151.6,3.09,56.2,1718,1691,134.35
82,151.5,1.57,44.7,270,1461,48.88
83,128.1,3.9,53.5,486,2474,87.53
84,153.1,3.93,46.2,1253,2826,124.38
85,134.0,3.49,34.3,1172,2475,110.95
86,126.2,2.11,48.0,1278,2464,109.22
87,119.4,2.52,43.3,1928,1566,133.8
88,170.2,4.5,35.2,1922,2271,153.41
89,156.2,3.28,46.8,232,2715,74.09
90,150.0,1.65,34.9,612,2244,73.48
91,150.8,1.67,43.5,1654,2902,113.84
92,151.2,3.69,57.1,1873,2189,143.69
93,152.9,5.88,45.7,232,3319,98.54
94,166.9,0.69,33.6,882,3149,77.88
95,152.6,1.13,51.8,135,3294,64.05
96,151.8,5.52,37.7,1200,2012,129.07
97,146.6,2.6,34.2,1015,3022,95.61
98,167.3,2.16,51.6,1939,3060,147.32
99,135.3,3.34,49.0,887,1843,90.54
100,166.0,0.99,43.4,1881,1989,122.31
